Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/04 11:41:26;0;0;0;0;0;0;0
2018/09/04 11:41:35;0;0;0;0;0.5;0;1
2018/09/04 11:41:41;0;0;0;0;0.5;0.08674134;0
2018/09/04 11:41:52;-3.34283710689805E-17;-302.080805104046;0;0;0.5;0;1
2018/09/04 11:42:01;0.693147180559946;-310.071771758049;0;0;0.5;0.08784141;1
2018/09/04 11:42:13;0.68358656288403;-7.6864110382641;0;0;0.5;0.1823981;1
2018/09/04 11:42:21;0.385198974047184;4.73080338356197;0;0;0.5;0.2460864;1
2018/09/04 11:42:32;0.340858352544545;5.99268390693794;0;0;0.5;0.3092597;1
2018/09/04 11:42:43;0.280604330727605;8.85404043600015;0;0;0.5;0.3786774;1
2018/09/04 11:42:51;0.297255570308599;8.39090213740724;0;0;0.5;0.4374597;1
2018/09/04 11:42:58;0.328424945741404;7.74573704433837;0;0;0.5;0.4903795;1
2018/09/04 11:43:05;0.365050774641555;7.11742190208583;0;0;0.5;0.5745477;0
2018/09/04 11:43:14;0.998536231979908;0.426819063054455;0;0;0.5;0.4859016;1
2018/09/04 11:43:27;0.950979194003796;1.04977529094389;0;0;0.5;0.5803788;1
2018/09/04 11:43:36;0.884656448597283;1.62381264792172;0;0;0.5;0.6375355;1
2018/09/04 11:43:42;0.828050596248565;2.0706455042151;0;0;0.5;0.6918557;0
2018/09/04 11:43:49;1.20563049221398;-0.332785480918175;0.76;1;0.1521163;0;1
2018/09/04 11:43:57;1.41562652427789;-0.748315102999344;0.775;1;0.200206;0.04091733;1
2018/09/04 11:44:04;1.57591089464317;-1.0509059343323;0.775;1;0.2222023;0.3073851;1
2018/09/04 11:44:12;1.65258032224192;-1.07237874229376;0.785;1;0.2340133;0.4352881;1
2018/09/04 11:44:19;1.67745571981683;-0.928943009749538;0.8;1;0.1519295;0;1
2018/09/04 11:44:31;1.81577129633796;-1.21008319763957;0.81;1;0.2465443;0.577351;0
2018/09/04 11:44:37;1.91552614685375;-2.09952351608585;0.763333333333333;1;0.1926636;0.2299242;1
2018/09/04 11:44:42;2.01145762209039;-2.2261646249578;0.781666666666667;1;0.2382971;0.3815616;1
2018/09/04 11:44:51;2.0641402822276;-2.20161827944693;0.765;1;0.2375081;0.4077683;1
2018/09/04 11:44:56;2.10432639252173;-2.14616844673688;0.796666666666667;1;0.2397928;0.4428872;1
2018/09/04 11:45:04;2.12756210348698;-2.04607933506769;0.808333333333333;1;0.1659202;0.2505964;1
2018/09/04 11:45:10;2.20876108592568;-2.15509744770276;0.811666666666667;1;0.2242003;0.4488924;1
2018/09/04 11:45:15;2.22570742261705;-2.0522550086223;0.818333333333333;1;0.2004395;0.4103571;0
2018/09/04 11:45:24;2.10897512854184;-2.22823619037075;0.786666666666667;1;0.2311792;0.4071876;0
2018/09/04 11:45:33;2.00676565160345;-2.36895097934457;0.763333333333333;1;0.2349827;0.3488376;1
2018/09/04 11:45:41;2.0612960341362;-2.39593874450975;0.774166666666667;1;0.1604336;0.1695747;1
2018/09/04 11:45:50;2.15193151180666;-2.55942315644378;0.775;1;0.2110934;0.3256923;1
2018/09/04 11:45:58;2.21004244563892;-2.60981221277382;0.795;1;0.2329905;0.3902736;1
2018/09/04 11:46:06;2.24502362370707;-2.58828476710446;0.780833333333333;1;0.2176662;0.3731062;1
2018/09/04 11:46:12;2.28522612034053;-2.58934461229791;0.799166666666667;1;0.212128;0.3758017;1
2018/09/04 11:46:18;2.32330202867864;-2.58836358697825;0.805;1;0.2264241;0.4229268;1
2018/09/04 11:46:26;2.34133582094829;-2.5284197000549;0.809166666666667;1;0.2253909;0.4377491;1
2018/09/04 11:46:33;2.35189024178225;-2.45043655135854;0.816666666666667;1;0.2207895;0.4451528;1
2018/09/04 11:46:38;2.35844573997381;-2.36524838914473;0.816666666666667;1;0.2194788;0.4607294;1
2018/09/04 11:46:44;2.3572521758465;-2.26148650493257;0.825;1;0.2471676;0.549849;0
2018/09/04 11:46:55;2.50351083244469;-2.95517939774725;0.802;1;0.1525382;0.2668805;1
2018/09/04 11:47:01;2.57826400147101;-3.08031834782287;0.8035;1;0.1586865;0.2954986;1
2018/09/04 11:47:09;2.64136731102543;-3.17609225028408;0.811;1;0.1910993;0.3773456;1
