Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 03:40:00;0;0;0;0;0;0;1
2018/09/12 03:40:07;0;0;0;0;0.5;0.06705413;0
2018/09/12 03:40:18;19.2028947644902;-572.758000894675;0;0;0.5;0;1
2018/09/12 03:40:25;20.2028947690641;-602.584649977477;0;0;0.5;0.0590148;1
2018/09/12 03:40:31;303.768804832941;-4819.73463471118;0;0;0.5;0.1512633;1
2018/09/12 03:40:41;1.63292608875941;-4.35780646794307;0;0;0.5;0.2160984;1
2018/09/12 03:40:47;1.36700267682396;2.82214068865296;0;0;0.5;0.3157343;1
2018/09/12 03:40:52;1.28160311041202;4.55014442348191;0;0;0.5;0.3752182;1
2018/09/12 03:40:58;1.26838369002171;4.76076291354002;0;0;0.5;0.4562847;1
2018/09/12 03:41:05;1.28716901080098;4.47230244990191;0;0;0.5;0.5350438;0
2018/09/12 03:41:11;2.14570424862529;-3.06082899342309;0;0;0.5;0.4481712;0
2018/09/12 03:41:19;2.28387676012436;-4.73825704622095;0;0;0.5;0.3812092;1
2018/09/12 03:41:24;2.33627128988971;-4.32580729540647;0;0;0.5;0.4339056;1
2018/09/12 03:41:35;2.28802461792511;-3.65068019371241;0;0;0.5;0.5281808;1
2018/09/12 03:41:39;2.08566755493201;-2.5447580505619;0;0;0.5;0.6256182;0
2018/09/12 03:41:47;2.54466808707842;-4.4168234527573;0.7;1;0.2430441;0.3189183;1
2018/09/12 03:41:53;2.72150339102793;-4.64184113852701;0.685;1;0.1704602;0.2454057;1
2018/09/12 03:42:00;2.91241865613546;-4.9768938943595;0.705;1;0.2482609;0.3625775;1
2018/09/12 03:42:09;3.03869565414222;-5.07539437694848;0.755;1;0.2021885;0.328255;1
2018/09/12 03:42:17;3.1872464014627;-5.27557087196819;0.775;1;0.202985;0.3448925;1
2018/09/12 03:42:25;3.32036185481994;-5.43776512930273;0.8;1;0.2478595;0.4064723;1
2018/09/12 03:42:32;3.38460420613491;-5.39067810021096;0.816666666666667;1;0.1593632;0.3193718;1
2018/09/12 03:42:40;3.52596304291672;-5.61446249421961;0.818333333333333;1;0.2288025;0.4115938;1
2018/09/12 03:42:46;3.57771555759315;-5.55799737536702;0.826666666666667;1;0.2151357;0.4108447;1
2018/09/12 03:42:57;3.6291633083597;-5.51501277710471;0.828333333333333;1;0.2034098;0.4105241;1
2018/09/12 03:43:04;3.67965185325731;-5.48148172310004;0.85;1;0.1733343;0.3862958;1
2018/09/12 03:43:11;3.75905710958207;-5.54452637234367;0.838333333333333;1;0.1559504;0.3734105;1
2018/09/12 03:43:23;3.84992812783868;-5.65028209951552;0.843333333333333;1;0.2247313;0.4622113;0
2018/09/12 03:43:30;4.00994853884345;-6.57555480834889;0.82;1;0.2247452;0.4215195;1
