Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/05 01:56:08;0;0;0;0;0;0;1
2018/09/05 01:56:18;0;0;0;0;0.5;0.06768806;1
2018/09/05 01:56:24;19.2028947644902;-7.105427357601E-15;0;0;0.5;0.1573288;1
2018/09/05 01:56:31;20.2028947690641;7.105427357601E-15;0;0;0.5;0.2190578;1
2018/09/05 01:56:38;20.2028947690641;-1.13242748511766E-14;0;0;0.5;0.2880171;1
2018/09/05 01:56:46;20.2028947690641;-1.99840144432528E-15;0;0;0.5;0.3546778;1
2018/09/05 01:56:53;21.2028947707468;4.44089209850063E-16;0;0;0.5;0.4198255;1
2018/09/05 01:57:01;21.2028947707468;-1.33226762955019E-15;0;0;0.5;0.4833673;1
2018/09/05 01:57:14;21.2028947707468;-7.21644966006352E-15;0;0;0.5;0.5350373;1
2018/09/05 01:57:21;21.2028947707468;-1.38777878078145E-15;0;0;0.5;0.6126032;0
2018/09/05 01:57:31;288.747285013697;-503.601894294892;0;0;0.5;0.5372406;1
2018/09/05 01:57:48;299.860652495834;-521.778259469438;0;0;0.5;0.6356031;1
2018/09/05 01:57:51;10.1100236929389;-15.3282247225848;0;0;0.5;0.7286018;0
2018/09/05 01:57:58;12.9932082422208;-20.5483585540604;0;0;0.5;0.6291599;0
2018/09/05 01:58:03;18.9271608525682;-31.0455244830659;0;0;0.5;0.5465593;0
2018/09/05 01:58:14;11.4003363916393;-19.4798138521185;0.855;1;0.2010071;0.5143953;0
2018/09/05 01:58:24;7.47753046660842;-13.3012578219218;0.82;1;0.2403281;0.4756429;0
2018/09/05 01:58:30;6.36129904318271;-11.7807695050519;0.685;1;0.1640904;0.4017731;1
2018/09/05 01:58:42;6.80761916053472;-12.5171967854806;0.695;1;0.2347935;0.449476;1
2018/09/05 01:58:48;7.23068804857865;-13.1622536054114;0.71;1;0.1718162;0.4298564;1
2018/09/05 01:58:54;7.62184464970522;-13.7958894709165;0.79;1;0.1590522;0.4317625;1
2018/09/05 01:59:01;7.97960636398326;-14.377912535509;0.803333333333333;1;0.2464645;0.4772632;1
2018/09/05 01:59:15;8.28207118170487;-14.7967859823171;0.8;1;0.2029939;0.4672897;1
2018/09/05 01:59:21;8.58642739642617;-15.2517580486993;0.821666666666667;1;0.1520073;0.4502749;1
2018/09/05 01:59:28;8.88057421116145;-15.7231418694589;0.836666666666667;1;0.1794347;0.4681248;0
2018/09/05 01:59:42;7.94155982038159;-14.3639199955394;0.78;1;0.153252;0.4338816;1
2018/09/05 01:59:52;8.21404275929224;-14.8173094881292;0.8;1;0.1965374;0.4593253;0
2018/09/05 01:59:58;7.41374712010737;-13.6330789745671;0.743333333333333;1;0.1941837;0.4394236;1
2018/09/05 02:00:05;7.66479591514423;-14.042845145883;0.75;1;0.1588326;0.4271111;1
2018/09/05 02:00:13;7.90692705615146;-14.4538968684122;0.761666666666667;1;0.2457883;0.4694737;1
2018/09/05 02:00:19;8.08456091083481;-14.6942400228631;0.786666666666667;1;0.1501492;0.432219;1
2018/09/05 02:00:24;8.30195491916994;-15.0619277915501;0.795833333333334;1;0.1732903;0.4474507;1
2018/09/05 02:00:31;8.50055378940661;-15.3816532744866;0.795;1;0.1657082;0.4475591;1
2018/09/05 02:00:36;8.69013614801088;-15.6878184629913;0.814166666666667;1;0.2034636;0.4669451;0
2018/09/05 02:00:42;8.17773132402045;-14.9901910710166;0.7725;1;0.1919128;0.4496342;1
2018/09/05 02:00:48;8.35520730217154;-15.2731041212996;0.76;1;0.1654728;0.441112;1
2018/09/05 02:00:59;8.53493476132376;-15.5726056594758;0.7825;1;0.1793468;0.4504163;1
2018/09/05 02:01:06;8.69764719692668;-15.8323138764428;0.785;1;0.1860091;0.4561237;1
2018/09/05 02:01:11;8.84632493807975;-16.0613500288678;0.790833333333333;1;0.2361812;0.4777054;1
2018/09/05 02:01:17;8.93927684978457;-16.157408729008;0.810833333333333;1;0.1818456;0.4601842;1
2018/09/05 02:01:25;9.07376986624882;-16.3605667724673;0.815;1;0.164049;0.4550799;1
2018/09/05 02:01:30;9.21186390146843;-16.5787444980286;0.8245;1;0.2295704;0.4826134;0
2018/09/05 02:01:38;9.01515118549748;-16.4582032488498;0.7895;1;0.2075363;0.4663517;0
2018/09/05 02:01:46;8.64035138406769;-15.9529125293801;0.7675;1;0.2047009;0.4565425;1
2018/09/05 02:01:54;8.77001914789041;-16.1543529757755;0.7695;1;0.2188558;0.4641271;1
2018/09/05 02:01:57;8.87796315422236;-16.3068163962224;0.769;1;0.5324953;0.5524149;0
2018/09/05 02:02:02;10.2852978943397;-19.3566302016328;0.7745;1;0.6756167;0.5692622;0
2018/09/05 02:02:10;10.957065886389;-20.8471719378036;0.7805;1;0.2138706;0.4631475;0
2018/09/05 02:02:16;10.4376633885069;-20.0114808743875;0.77;1;0.5321958;0.5280281;0
2018/09/05 02:02:25;10.9545055537435;-21.2191935351649;0.7695;1;0.6631984;0.548187;1
2018/09/05 02:02:32;9.99265776513436;-19.0494954529484;0.74;1;0.1543024;0.4352562;1
2018/09/05 02:02:41;10.1875371556924;-19.4096279679636;0.751;1;0.450187;0.5145705;1
2018/09/05 02:02:45;9.93498083986715;-18.7716088411325;0.751;1;0.719924;0.5795489;0
2018/09/05 02:02:53;10.4650715873257;-19.9279718664759;0.755333333333333;1;0.2340558;0.4656531;0
2018/09/05 02:02:56;10.0177123721278;-19.201358162712;0.740333333333333;1;0.5247632;0.5268818;0
2018/09/05 02:03:00;10.3696332233802;-20.0376175791467;0.748333333333333;1;0.6722653;0.5533633;0
