Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 03:01:40;0;0;0;0;0;0;1
2018/09/12 03:01:49;0;0;0;0;0.5;0.08984163;1
2018/09/12 03:01:57;19.2028947644902;5.32907051820075E-15;0;0;0.5;0.1612556;1
2018/09/12 03:02:08;20.2028947690641;1.77635683940025E-15;0;0;0.5;0.2240831;1
2018/09/12 03:02:18;20.2028947690641;1.46549439250521E-14;0;0;0.5;0.3238099;1
2018/09/12 03:02:28;20.2028947690641;6.88338275267597E-15;0;0;0.5;0.378738;1
2018/09/12 03:02:34;21.2028947707468;-5.99520433297585E-15;0;0;0.5;0.4630678;1
2018/09/12 03:02:48;21.2028947707468;-1.0325074129014E-14;0;0;0.5;0.528495;0
2018/09/12 03:02:56;298.674255268669;-602.789740328507;0;0;0.5;0.4781909;1
2018/09/12 03:03:06;386.289797469884;-767.904540608327;0;0;0.5;0.572139;0
2018/09/12 03:03:10;385.476589392286;-765.994484875299;0;0;0.5;0.5152873;0
2018/09/12 03:03:22;531.069567944595;-1069.1523892468;0;0;0.5;0.417736;0
2018/09/12 03:03:27;8.1436574658551;-17.7490901300572;0.76;1;0.2316142;0.391256;1
2018/09/12 03:03:35;11.7505597983343;-25.1293010048938;0.79;1;0.2362129;0.4209032;1
2018/09/12 03:03:42;12.8871742932039;-27.2340008556724;0.785;1;0.1889887;0.4197173;1
2018/09/12 03:03:47;15.4296922188768;-32.3791964256063;0.86;1;0.1883306;0.4314127;1
2018/09/12 03:03:52;16.496691891529;-34.3908562186008;0.895;1;0.1732726;0.4342457;1
2018/09/12 03:03:57;17.4561584510777;-36.2001298202596;0.875;1;0.2012336;0.4441298;1
2018/09/12 03:04:01;18.3048731940126;-37.7370207266198;0.875;1;0.1657885;0.4422474;1
2018/09/12 03:04:05;19.1066416511676;-39.2278434474668;0.905;1;0.1848676;0.4492455;1
2018/09/12 03:04:09;19.8104796073129;-40.4870530126516;0.945;1;0.2045427;0.455759;1
2018/09/12 03:04:13;20.3965462002344;-41.4737108527303;0.956666666666667;1;0.2490319;0.4651805;1
