Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 03:58:24;0;0;0;0;0;0;1
2018/09/12 03:58:34;0;0;0;0;0.5;0.09746947;1
2018/09/12 03:58:42;19.2028947644902;1.06581410364015E-14;0;0;0.5;0.1475716;1
2018/09/12 03:58:51;20.2028947690641;8.88178419700125E-16;0;0;0.5;0.1993053;1
2018/09/12 03:59:00;20.2028947690641;3.21964677141295E-15;0;0;0.5;0.2564341;1
2018/09/12 03:59:09;20.2028947690641;-4.44089209850063E-15;0;0;0.5;0.3064925;1
2018/09/12 03:59:20;21.2028947707468;-1.11022302462516E-14;0;0;0.5;0.3631888;1
2018/09/12 03:59:33;21.2028947707468;-2.22044604925031E-16;0;0;0.5;0.4395446;1
2018/09/12 03:59:46;21.2028947707468;-1.88737914186277E-15;0;0;0.5;0.5070083;1
2018/09/12 03:59:50;21.2028947707468;-8.65973959207622E-15;0;0;0.5;0.5897021;0
2018/09/12 04:00:02;260.661558890562;-475.740365695209;0;0;0.5;0.4902597;1
2018/09/12 04:00:10;260.622173010669;-475.763243874548;0;0;0.5;0.5666441;0
2018/09/12 04:00:17;345.878820265993;-644.545411655817;0;0;0.5;0.5116711;0
2018/09/12 04:00:23;3857.02132938679;-7572.75097324351;0;0;0.5;0.4208582;1
2018/09/12 04:00:34;3854.57777181019;-7567.95357808002;0;0;0.5;0.4999026;1
2018/09/12 04:00:43;3835.71804031547;-7531.07475800739;0;0;0.5;0.57129;0
2018/09/12 04:00:49;3827.13276371076;-7514.21336412006;0;0;0.5;0.4831851;1
2018/09/12 04:00:59;3818.8226548091;-7497.89727234749;0;0;0.5;0.5365652;0
2018/09/12 04:01:07;3826.21068994983;-7512.35136802835;0;0;0.5;0.4603753;1
2018/09/12 04:01:17;3827.02371066986;-7513.94941924727;0;0;0.5;0.5441772;0
2018/09/12 04:01:24;3824.39936304429;-7508.78666388578;0;0;0.5;0.4713315;1
2018/09/12 04:01:29;3825.31065537623;-7510.5785425917;0;0;0.5;0.5623731;0
2018/09/12 04:01:38;3819.6106683506;-7499.38642297846;0;0;0.5;0.484592;1
2018/09/12 04:01:44;3818.34785926912;-7496.9117084619;0;0;0.5;0.5822788;0
