Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/05 03:37:51;0;0;0;0;0;0;1
2018/09/05 03:37:58;0;0;0;0;0.5;0.0593182;1
2018/09/05 03:38:06;19.2028947644902;-1.06581410364015E-14;0;0;0.5;0.1479242;1
2018/09/05 03:38:14;20.2028947690641;4.44089209850063E-16;0;0;0.5;0.2449263;1
2018/09/05 03:38:23;20.2028947690641;-7.105427357601E-15;0;0;0.5;0.3213304;1
2018/09/05 03:38:29;20.2028947690641;4.44089209850063E-16;0;0;0.5;0.3943364;0
2018/09/05 03:38:35;191.784230849218;-536.507610547687;0;0;0.5;0.3336859;1
2018/09/05 03:38:42;231.265833597487;-635.989357457684;0;0;0.5;0.4317869;0
2018/09/05 03:38:52;230.380156008427;-633.156685231554;0;0;0.5;0.3364354;1
2018/09/05 03:39:00;242.408134359485;-663.506905303027;0;0;0.5;0.3910175;1
2018/09/05 03:39:08;4315.61887200262;-10990.2267198279;0;0;0.5;0.4828383;1
2018/09/05 03:39:12;4.25786765737829;-8.6133808548008;0;0;0.5;0.5397819;0
2018/09/05 03:39:19;7.22454363658339;-16.4179250987578;0;0;0.5;0.4557321;0
2018/09/05 03:39:26;7.84504620897806;-18.5752944633195;0.77;1;0.1525051;0.3300061;1
2018/09/05 03:39:36;8.41740864316436;-19.7944164316055;0.755;1;0.1644607;0.3431272;1
2018/09/05 03:39:41;8.93222825717798;-20.8621948065968;0.815;1;0.1731768;0.3532203;1
2018/09/05 03:39:48;9.39201520262154;-21.7884202767671;0.805;1;0.1513047;0.3519122;1
2018/09/05 03:39:56;9.80636139258032;-22.6363641869102;0.815;1;0.2417029;0.3827026;1
2018/09/05 03:40:00;10.1033794209762;-23.0866958541148;0.83;1;0.165794;0.3676423;1
2018/09/05 03:40:08;10.4458574174559;-23.7476068580127;0.81;1;0.2124114;0.3846875;1
2018/09/05 03:40:17;10.7048539130813;-24.1534377907355;0.8;1;0.1971273;0.3850594;1
2018/09/05 03:40:26;10.9538947291677;-24.5579097396569;0.808333333333333;1;0.2251293;0.3957126;1
2018/09/05 03:40:32;11.1281973597205;-24.7553122695968;0.838333333333333;1;0.1643091;0.3838242;1
2018/09/05 03:40:41;11.3692732179184;-25.1843312719193;0.825;1;0.1831753;0.3920808;1
2018/09/05 03:40:46;11.5622232845824;-25.4798974741655;0.83;1;0.2217915;0.4045137;1
2018/09/05 03:40:54;11.6630146126451;-25.5183159909885;0.843333333333333;1;0.2455022;0.4130472;1
2018/09/05 03:41:02;11.6893553770222;-25.3614227886369;0.84;1;0.1522761;0.3932151;1
2018/09/05 03:41:09;11.8762054717129;-25.6825434965246;0.856666666666666;1;0.1736367;0.4016789;1
2018/09/05 03:41:16;12.0136901545472;-25.8675402418028;0.858333333333333;1;0.1936954;0.4092973;1
2018/09/05 03:41:21;12.0970046206886;-25.9078657849329;0.863333333333334;1;0.2014147;0.4137558;1
2018/09/05 03:41:28;12.1483414269758;-25.868913363991;0.866666666666667;1;0.2062585;0.4175171;1
2018/09/05 03:41:34;12.1735570494678;-25.7677292464609;0.870833333333334;1;0.1656487;0.4096896;1
2018/09/05 03:41:43;12.2727490525883;-25.8794955419092;0.875;1;0.2497569;0.4317256;1
2018/09/05 03:41:50;12.1524837257764;-25.406314268919;0.878333333333333;1;0.2109615;0.4264036;1
2018/09/05 03:41:58;15.6022324549643;-33.1807642358123;0.89;1;0.1691895;0.4222582;1
2018/09/05 03:42:06;15.6719048352642;-33.1913191260581;0.885833333333333;1;0.2037562;0.4311044;1
2018/09/05 03:42:14;15.6050985499868;-32.8536156799316;0.8925;1;0.1820373;0.4292524;1
2018/09/05 03:42:20;15.5988624997045;-32.6812521644763;0.889166666666667;1;0.2479825;0.443357;1
2018/09/05 03:42:26;15.3107770510399;-31.8004704510812;0.895833333333334;1;0.2465386;0.4463336;1
2018/09/05 03:42:32;15.0142694085673;-30.9109662503592;0.8875;1;0.1914956;0.4391305;1
2018/09/05 03:42:37;14.9298009936882;-30.5632180447144;0.89;1;0.1849111;0.439953;0
2018/09/05 03:42:42;15.4092583537729;-32.2642097203527;0.877;1;0.1835473;0.4313374;1
2018/09/05 03:42:50;15.4250937190068;-32.1796260309713;0.8735;1;0.16774;0.4295688;1
2018/09/05 03:42:58;15.475419272595;-32.1871016179351;0.883;1;0.1889488;0.4355336;1
2018/09/05 03:43:04;15.4376000589168;-31.9779443077448;0.8805;1;0.1877742;0.4369594;1
2018/09/05 03:43:13;15.3872442647884;-31.7425188595273;0.8885;1;0.4511244;0.4785731;1
2018/09/05 03:43:20;13.9868389399954;-28.2465617003007;0.8865;1;0.6823376;0.5222361;0
2018/09/05 03:43:27;15.7613041664462;-32.4623059981028;0.8915;1;0.2077135;0.4442858;1
2018/09/05 03:43:33;15.7499055569168;-32.3187629795048;0.889;1;0.4533999;0.4815457;1
2018/09/05 03:43:38;15.238699350938;-30.8709603574788;0.912;1;0.6694492;0.5164852;0
2018/09/05 03:43:44;16.6492038729208;-34.1934971455531;0.882;1;0.1772093;0.442009;1
2018/09/05 03:43:50;16.7704678164488;-34.369452226098;0.903666666666667;1;0.4982056;0.4877381;1
2018/09/05 03:43:57;15.7149445342384;-31.7790930740255;0.905666666666667;1;0.7368025;0.5268986;0
2018/09/05 03:44:05;16.7398957850671;-34.1599386735243;0.893333333333333;1;0.2479148;0.4575574;1
2018/09/05 03:44:11;16.7629297132596;-34.0917339705795;0.923;1;0.4696899;0.48814;1
2018/09/05 03:44:16;16.0560778364835;-32.3340426070859;0.916333333333333;1;0.6571321;0.5166882;0
2018/09/05 03:44:21;17.0082242171863;-34.5493045091513;0.907666666666667;1;0.1550542;0.4432138;1
2018/09/05 03:44:29;17.1929771308811;-34.8824875689581;0.911;1;0.4692703;0.4893545;1
2018/09/05 03:44:33;16.6119483453377;-33.4314908716687;0.924333333333333;1;0.747269;0.5293227;0
2018/09/05 03:44:41;17.3819014964356;-35.1868284294234;0.912666666666667;1;0.2488074;0.4625856;1
2018/09/05 03:44:47;17.475275090494;-35.2877000552014;0.926666666666667;1;0;0;1
2018/09/05 03:44:52;17.4752378795067;-35.2876243753494;0.926190476190476;1;0.04148198;0.4062361;1
2018/09/05 03:44:58;17.6150104154782;-35.5707046745449;0.92452380952381;1;0;0;1
2018/09/05 03:45:06;17.6149075415074;-35.5704953095421;0.930714285714286;1;0.04478009;0.4091798;1
2018/09/05 03:45:11;17.7580539515185;-35.8595940584561;0.932857142857143;1;0.03066381;0.3989037;1
2018/09/05 03:45:16;17.8722070144229;-36.0922076549913;0.928095238095238;1;0.01754692;0.3836571;1
2018/09/05 03:45:22;17.9512300671146;-36.2547376215648;0.931190476190476;1;0;0;1
2018/09/05 03:45:29;17.9509919764823;-36.2542529800174;0.928095238095238;1;0;0;1
