Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 06:07:13;0;0;0;0;0;0;1
2018/09/12 06:07:21;0;0;0;0;0.5;0.0824907;1
2018/09/12 06:07:29;19.2028947644902;-1.77635683940025E-15;0;0;0.5;0.1582411;1
2018/09/12 06:07:35;20.2028947690641;1.06581410364015E-14;0;0;0.5;0.2292008;1
2018/09/12 06:07:43;20.2028947690641;-1.77635683940025E-15;0;0;0.5;0.2894298;1
2018/09/12 06:08:00;20.2028947690641;-1.15463194561016E-14;0;0;0.5;0.340096;0
2018/09/12 06:08:07;240.202275278838;-763.70717553852;0;0;0.5;0.2594435;1
2018/09/12 06:08:14;239.469687575923;-761.582934577213;0;0;0.5;0.3420432;0
2018/09/12 06:08:22;240.262202923154;-764.244548717709;0;0;0.5;0.2870412;0
2018/09/12 06:08:29;23.2710279041774;-80.3032511614706;0;0;0.5;0.2170762;1
2018/09/12 06:08:35;23.3187944552213;-80.5066907617531;0;0;0.5;0.2819509;1
2018/09/12 06:08:41;32.2191170827511;-109.96852058404;0;0;0.5;0.3528433;1
2018/09/12 06:08:47;8.17914143245377;-25.3679539817395;0;0;0.5;0.4179149;1
2018/09/12 06:08:54;3.82751677943953;-9.63820992884247;0;0;0.5;0.4775491;1
2018/09/12 06:09:01;2.00990569765702;-3.2497021310657;0;0;0.5;0.5532324;0
2018/09/12 06:09:06;3.47413521986287;-7.92026510746469;0.62;1;0.1901261;0.2556662;1
2018/09/12 06:09:12;3.65712446524943;-8.27399506920223;0.65;1;0.2060082;0.2789423;1
2018/09/12 06:09:18;3.81260280556358;-8.53201077887199;0.67;1;0.2347991;0.3083909;1
2018/09/12 06:09:26;3.92835392121294;-8.64379218787241;0.74;1;0.2458336;0.3247875;1
2018/09/12 06:09:32;4.01362427708277;-8.65934404418332;0.745;1;0.2489502;0.3359845;1
2018/09/12 06:09:37;4.07555596301311;-8.6094959540296;0.755;1;0.2012057;0.3132332;1
2018/09/12 06:09:43;4.16872021731171;-8.70711627798837;0.77;1;0.2211245;0.3341628;1
2018/09/12 06:09:49;4.22726428974406;-8.68661910786451;0.766666666666667;1;0.1676802;0.3022012;1
2018/09/12 06:09:54;4.32184965943746;-8.82935120506106;0.766666666666667;1;0.195744;0.3294398;1
2018/09/12 06:10:03;4.38072101148475;-8.8421099716236;0.791666666666667;1;0.1534367;0.3022836;1
2018/09/12 06:10:09;4.46584672706698;-8.97587292723583;0.805;1;0.1737614;0.3238288;1
2018/09/12 06:10:14;5.29520226225472;-10.9520296007913;0.811666666666667;1;0.2028563;0.3585331;1
2018/09/12 06:10:19;5.32958062881472;-10.8605797952652;0.82;1;0.211842;0.3697521;1
2018/09/12 06:10:26;5.33527460995654;-10.6839054610442;0.82;1;0.1691267;0.3503817;1
2018/09/12 06:10:32;5.50889827362955;-10.9779326951769;0.826666666666667;1;0.1952019;0.3727789;1
2018/09/12 06:10:37;5.51970261443902;-10.8317158369732;0.84;1;0.1914188;0.3765687;1
2018/09/12 06:10:42;5.52325711050326;-10.6721851217267;0.8425;1;0.1572283;0.360213;1
2018/09/12 06:10:48;5.57250725237279;-10.6714963707694;0.8525;1;0.2351017;0.411637;0
2018/09/12 06:10:52;5.85924847515644;-12.1102858424094;0.816666666666667;1;0.1943388;0.3663983;1
2018/09/12 06:10:59;6.04872681616493;-12.4504990425411;0.84;1;0.1751957;0.3613899;1
2018/09/12 06:11:05;6.10117737430625;-12.466780827671;0.835833333333333;1;0.1830144;0.3693913;1
2018/09/12 06:11:10;6.13213022251315;-12.4198852370361;0.8375;1;0.2020777;0.3831574;1
2018/09/12 06:11:16;6.12331380869401;-12.2517181786929;0.849166666666667;1;0.1784879;0.3751872;1
2018/09/12 06:11:21;6.14215407518112;-12.1783080307603;0.856666666666667;1;0.1966469;0.3887872;1
2018/09/12 06:11:27;6.11668424041552;-11.9741866212867;0.849166666666667;1;0.2034571;0.3968418;1
2018/09/12 06:11:32;6.06479265839854;-11.696813098463;0.865;1;0.1922776;0.3957928;1
2018/09/12 06:11:38;6.02408390450004;-11.4595060667984;0.8765;1;0.1601362;0.3810696;1
