Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/07 09:40:01;0;0;0;0;0;0;1
2018/09/07 09:40:08;0;0;0;0;0.5;0.08263794;1
2018/09/07 09:40:14;19.2028947644902;1.06581410364015E-14;0;0;0.5;0.155173;1
2018/09/07 09:40:21;20.2028947690641;-9.76996261670138E-15;0;0;0.5;0.2240254;1
2018/09/07 09:40:27;20.2028947690641;-9.32587340685131E-15;0;0;0.5;0.320665;0
2018/09/07 09:40:34;110.085417244517;-405.15616657978;0;0;0.5;0.265198;1
2018/09/07 09:40:40;206.896837972643;-707.060039038218;0;0;0.5;0.3299332;1
2018/09/07 09:40:46;9.84947828354318;-29.5796094424572;0;0;0.5;0.4258258;1
2018/09/07 09:40:53;3.28714337018417;-5.67834922997876;0;0;0.5;0.4842077;1
2018/09/07 09:41:01;2.74156296905378;-2.78578560969419;0;0;0.5;0.5525015;0
2018/09/07 09:53:43;2.74156296905379;-2.7857856096942;0;0;0;0;1
2018/09/07 09:53:48;2.8456954379505;-3.07950233752005;0;0;0.5;0.05618931;1
2018/09/07 09:53:55;2.93401960456027;-3.31118163625919;0;0;0.5;0.1513008;1
2018/09/07 09:54:00;3.02298796540161;-3.48861351351418;0;0;0.5;0.2061344;1
2018/09/07 09:54:05;3.09681838320998;-3.5766860888781;0;0;0.5;0.2828982;1
2018/09/07 09:54:44;3.13409507592414;-3.45960281047871;0;0;0;0;1
2018/09/07 09:54:50;3.1348402995785;-3.46275402330734;0;0;0.5;0.0969055;1
2018/09/07 09:55:02;3.17327931898235;-3.55924914875977;0;0;0.5;0.1776252;1
2018/09/07 09:55:08;3.21755355908424;-3.62511991586007;0;0;0.5;0.2574018;1
2018/09/07 09:55:15;3.24521234098853;-3.55832836647577;0;0;0.5;0.3144095;1
2018/09/07 09:55:23;3.24459565478106;-3.3361414899136;0;0;0.5;0.3693009;1
2018/09/07 09:55:30;4.13898381142112;-5.15817223504686;0;0;0.5;0.4328123;1
2018/09/07 09:55:39;4.00566748703534;-4.31273790497848;0;0;0.5;0.4926612;1
2018/09/07 09:55:44;3.82232873762772;-3.31000558119521;0;0;0.5;0.5628094;0
2018/09/07 09:55:52;6.0620275389037;-10.6853636412982;0;0;0.5;0.487253;1
2018/09/07 09:56:00;5.86340874225846;-9.79011340527172;0;0;0.5;0.5696085;0
2018/09/07 09:56:06;6.95955228385982;-12.8959599192988;0;0;0.5;0.5102987;0
2018/09/07 09:56:11;7.37748067920657;-14.3951438814853;0.905;1;0.1773977;0.4059287;1
2018/09/07 09:56:16;7.71069977686114;-14.9492354277325;0.891666666666667;1;0.2220897;0.4319398;0
2018/09/07 09:56:21;6.99591051310867;-14.0485144861098;0.848333333333333;1;0.217926;0.4070264;1
2018/09/07 09:56:26;7.25787546238398;-14.4610759315844;0.846666666666667;1;0.1775119;0.3958612;1
2018/09/07 09:56:33;7.53003454076678;-14.9300215626111;0.846666666666667;1;0.1657221;0.3960999;1
2018/09/07 09:56:40;7.79739216099421;-15.398704883774;0.868333333333333;1;0.1805595;0.4081402;1
2018/09/07 09:56:47;8.04980116979265;-15.8243344544199;0.8725;1;0.1637252;0.4056432;1
2018/09/07 09:56:52;8.30079886424;-16.2605914899367;0.8875;1;0.2064341;0.4276747;1
2018/09/07 09:56:57;8.50690171847839;-16.5677986954894;0.9;1;0.1604758;0.413586;1
2018/09/07 09:57:02;8.74126286277758;-16.9717639782285;0.898333333333333;1;0.1755004;0.423888;1
2018/09/07 09:57:07;8.95318145890114;-17.3166381774597;0.905;1;0.206973;0.4394567;1
2018/09/07 09:57:13;9.11327784218678;-17.5270775123006;0.908333333333334;1;0.1622179;0.426281;1
2018/09/07 09:57:18;9.31585656353715;-17.8627350692276;0.91;1;0.184127;0.4381873;1
2018/09/07 09:57:24;9.48038956221277;-18.1012087708535;0.913333333333333;1;0.2187625;0.4534226;1
2018/09/07 09:57:30;9.56992666144616;-18.1544822350855;0.92;1;0.2326926;0.4614154;1
2018/09/07 09:57:37;9.60993468228035;-18.0935545995632;0.917;1;0.2288966;0.4639985;0
2018/09/07 09:57:42;9.59330946351452;-18.5112227968646;0.901;1;0.1543756;0.4263696;1
2018/09/07 09:57:48;9.7916281345287;-18.8614714187213;0.9055;1;0.1813824;0.439235;1
2018/09/07 09:57:54;9.9461333705743;-19.1013710634114;0.905;1;0.1920484;0.4454852;1
2018/09/07 09:58:03;10.0710221923582;-19.271459569757;0.8955;1;0.2049101;0.4522303;1
2018/09/07 09:58:09;10.1579836047409;-19.3528019365944;0.8995;1;0.2027414;0.4541325;1
2018/09/07 09:58:15;10.2352427030877;-19.4153493010996;0.9085;1;0.1891031;0.4521883;1
2018/09/07 09:58:20;10.3272340290291;-19.5181851266499;0.9105;1;0.1718672;0.4485449;1
2018/09/07 09:58:25;10.44053896837;-19.6770798395108;0.904;1;0.2154503;0.4649145;1
2018/09/07 09:58:31;10.4440248065369;-19.5761157560163;0.902;1;0.1617709;0.4494719;1
2018/09/07 09:58:40;10.5548269385831;-19.7360438192702;0.903;1;0.2159238;0.4694581;1
2018/09/07 09:58:48;10.5266688403026;-19.5688685121906;0.895666666666667;1;0.1599402;0.4531686;1
2018/09/07 09:58:52;10.6210206728077;-19.695276883292;0.897;1;0.1947405;0.4671945;0
2018/09/07 09:58:57;10.6697152138264;-20.1681580402015;0.899;1;0.1901425;0.4571876;1
2018/09/07 09:59:02;10.7311486861561;-20.2201038559289;0.900666666666667;1;0.2209366;0.4683918;1
2018/09/07 09:59:13;10.7019251723165;-20.0632223285004;0.902666666666667;1;0.1799785;0.4578244;1
2018/09/07 09:59:18;10.7640871546443;-20.1224726621813;0.898666666666667;1;0.2145347;0.4704334;1
2018/09/07 09:59:26;10.7252680356361;-19.9496226852991;0.896666666666667;1;0.2206935;0.4743768;1
2018/09/07 09:59:31;10.6541009724507;-19.7056657535499;0.886333333333333;1;0.5028049;0.5412312;0
2018/09/07 09:59:34;12.1185614319571;-23.0366354417451;0.908333333333333;1;0.7393394;0.5713117;0
2018/09/07 09:59:39;13.1333569464686;-25.2926595192147;0.911190476190476;1;0.2439176;0.4745265;1
2018/09/07 09:59:51;13.1354200538703;-25.2062951728112;0.911428571428572;1;0.4672242;0.5159079;0
2018/09/07 10:00:00;14.0465434760689;-27.3260690830613;0.905;1;0.7052569;0.5459622;1
2018/09/07 10:00:05;12.2794124485815;-23.3658440845843;0.888571428571428;1;0.2130682;0.4696121;1
2018/09/07 10:00:15;12.3563977498506;-23.4577991884512;0.883809523809524;1;0.4626418;0.5203679;1
2018/09/07 10:00:23;11.779525905115;-22.1034289337036;0.871428571428571;1;0.6559646;0.5621249;0
2018/09/07 10:00:27;12.5771196842919;-23.8681805705895;0.881428571428571;1;0.2386446;0.4783354;1
2018/09/07 10:00:31;12.6328008757985;-23.9112011834086;0.883333333333333;1;0.5061934;0.5293576;0
2018/09/07 10:00:38;13.2891792746418;-25.4166545945115;0.878809523809524;1;0.7150654;0.5590544;1
2018/09/07 10:00:48;11.8789340620801;-22.3064367784293;0.871428571428571;1;0.2349492;0.4796087;1
2018/09/07 10:00:57;11.9459425087069;-22.3802099807681;0.862857142857143;1;0.4779326;0.5298259;1
2018/09/07 10:01:03;11.4768033229767;-21.2900889401324;0.860357142857143;1;0.7119086;0.5815605;0
2018/09/07 10:01:09;12.0797431745984;-22.595636333747;0.860892857142857;1;0.2112257;0.4762951;1
2018/09/07 10:01:17;12.1789964514775;-22.7436825719525;0.872678571428571;1;0.03983824;0.3955702;1
2018/09/07 10:01:22;12.2775387457768;-22.9344579842379;0.870535714285714;1;0.03383652;0.389185;1
2018/09/07 10:01:29;12.3657838742316;-23.105835077722;0.865178571428571;1;0.0406634;0.3983786;1
2018/09/07 10:01:34;12.4617065799965;-23.2911977855854;0.868571428571429;1;0.02717342;0.3814205;1
2018/09/07 10:01:41;12.5364829893448;-23.4369099199231;0.866964285714286;1;0;0;1
2018/09/07 10:01:46;12.5365071651923;-23.4369607596328;0.869464285714286;1;0;0;1
2018/09/07 10:01:52;12.5365169602156;-23.4369839694106;0.88;1;0.02775193;0.3831641;1
2018/09/07 10:01:58;12.6110241833837;-23.5820455110082;0.88;1;0;0;1
