Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/04 02:16:09;0;0;0;0;0;0;1
2018/09/04 02:16:22;0;0;0;0;0.5;0.08560344;1
2018/09/04 02:16:30;19.2028947644902;3.5527136788005E-15;0;0;0.5;0.1786731;1
2018/09/04 02:16:44;20.2028947690641;-8.88178419700125E-16;0;0;0.5;0.2362556;1
2018/09/04 02:16:52;20.2028947690641;5.10702591327572E-15;0;0;0.5;0.3194603;1
2018/09/04 02:17:00;20.2028947690641;-5.77315972805081E-15;0;0;0.5;0.4038581;1
2018/09/04 02:17:08;21.2028947707468;-3.10862446895044E-15;0;0;0.5;0.4664187;1
2018/09/04 02:17:15;21.2028947707468;-4.44089209850063E-15;0;0;0.5;0.5429853;0
2018/09/04 02:17:20;262.546562899402;-520.62299154525;0;0;0.5;0.4852486;0
2018/09/04 02:17:29;1013.22399464099;-2129.36496309649;0;0;0.5;0.4156758;1
2018/09/04 02:17:37;1011.35551733167;-2125.54014748666;0;0;0.5;0.4672667;1
2018/09/04 02:17:47;1064.14660553619;-2234.42393291706;0;0;0.5;0.530363;1
2018/09/04 02:17:52;12.4068625535763;-23.8796854068835;0;0;0.5;0.5923675;0
2018/09/04 02:17:57;14.4732421331319;-28.2152825355109;0;0;0.5;0.4924137;1
2018/09/04 02:18:04;15.123831267358;-29.008949602373;0;0;0.5;0.5746828;1
2018/09/04 02:18:07;10.7041255813266;-19.3909184676547;0;0;0.5;0.6557357;0
2018/09/04 02:18:15;11.9026604555634;-21.7812919390447;0.795;1;0.1571033;0.4693349;0
2018/09/04 02:18:23;7.82617090441335;-14.684077527094;0.73;1;0.179833;0.429628;1
2018/09/04 02:18:29;8.32112959820055;-15.5350568316515;0.72;1;0.2044497;0.4481746;1
2018/09/04 02:18:33;8.76028950726638;-16.2601694614654;0.755;1;0.2343113;0.4659339;1
2018/09/04 02:18:39;9.12399510454821;-16.8169127930618;0.76;1;0.2359196;0.4726678;1
2018/09/04 02:18:44;9.44320126101708;-17.2884064449491;0.798333333333333;1;0.2018721;0.4667039;1
2018/09/04 02:18:49;9.77224935733908;-17.8070295008673;0.808333333333333;1;0.2173901;0.4768515;1
2018/09/04 02:18:55;10.0463138751894;-18.2088083715544;0.818333333333333;1;0.2108687;0.4792525;1
2018/09/04 02:19:00;10.2996665744354;-18.5768086908511;0.82;1;0.2206708;0.4865155;1
2018/09/04 02:19:04;13.0264764392691;-23.7189586971316;0.821666666666667;1;0.1893192;0.4878813;1
2018/09/04 02:19:10;13.3225533020525;-24.1652671059976;0.816666666666667;1;0.2026394;0.4946221;1
2018/09/04 02:19:20;13.5620265145719;-24.4926812368971;0.85;1;0.2236398;0.5029032;0
2018/09/04 02:19:27;10.6657020417619;-19.3180127533574;0.815;1;0.1610016;0.4666581;1
2018/09/04 02:19:34;10.9375366981004;-19.77701333333;0.823333333333333;1;0.2323721;0.492621;1
2018/09/04 02:19:40;13.7797964558712;-25.2218152262086;0.823333333333333;1;0.210255;0.4938743;1
2018/09/04 02:19:44;13.9692516241776;-25.4753856374677;0.8325;1;0.2109991;0.496571;1
2018/09/04 02:19:53;14.1317482034757;-25.6767620296212;0.843333333333333;1;0.2315114;0.5036442;0
2018/09/04 02:19:59;13.9976714081918;-25.816234026723;0.8275;1;0.2430571;0.4982013;1
2018/09/04 02:20:04;14.1061008121302;-25.9123882482616;0.8275;1;0.2224016;0.4960707;1
2018/09/04 02:20:10;14.2483482897277;-26.0875657403086;0.800833333333334;1;0.1703232;0.4854807;1
2018/09/04 02:20:16;14.4898206031937;-26.4862542883689;0.825833333333333;1;0.2289778;0.5012309;0
2018/09/04 02:20:21;14.3360719338517;-26.5256185532029;0.808333333333333;1;0.1546815;0.4764348;1
2018/09/04 02:20:26;14.6289854438807;-27.045858634195;0.809166666666667;1;0.2033504;0.4904078;1
2018/09/04 02:20:31;14.8064682712873;-27.3150161307492;0.81;1;0.2289328;0.4976062;1
2018/09/04 02:20:38;14.893362598384;-27.3933705110371;0.825;1;0.2025083;0.4936476;0
2018/09/04 02:20:43;14.4322100028968;-26.7812335254925;0.794;1;0.1840489;0.4832883;1
2018/09/04 02:20:47;14.6632343519824;-27.1765690908416;0.7925;1;0.2455674;0.4982542;1
2018/09/04 02:20:52;14.7112716041833;-27.1830315530801;0.8065;1;0.1645508;0.4814225;1
2018/09/04 02:20:57;14.9476374577189;-27.5971180552596;0.821;1;0.159189;0.4813315;1
2018/09/04 02:21:03;15.1784076258236;-28.0023419424575;0.8215;1;0.4694376;0.5376695;0
2018/09/04 02:21:12;17.6344331227058;-33.1092282070802;0.816;1;0.7062583;0.5591104;0
2018/09/04 02:21:17;19.2144548312322;-36.3694821620487;0.822;1;0.2321664;0.4954246;1
2018/09/04 02:21:23;19.3573905815528;-36.5763374040702;0.824;1;0.512303;0.5305783;0
2018/09/04 02:21:30;20.7886403487203;-39.5953731530611;0.8305;1;0.7133893;0.5480576;0
2018/09/04 02:21:37;22.1650683032564;-42.4326860323086;0.832;1;0.2453926;0.495885;1
2018/09/04 02:21:42;22.3473323091067;-42.7185686930946;0.845333333333333;1;0.4604301;0.5194163;0
2018/09/04 02:21:50;23.3855301238818;-44.9544509849981;0.830333333333333;1;0.6813414;0.5371097;0
2018/09/04 02:21:59;24.6738052081192;-47.6168053099591;0.836333333333333;1;0.231902;0.4930235;1
2018/09/04 02:22:05;24.9500174988884;-48.0993077474307;0.836666666666667;1;0.5007105;0.518778;0
2018/09/04 02:22:13;25.9638493593142;-50.2628378825409;0.842666666666667;1;0.6953608;0.5329813;1
2018/09/04 02:22:19;23.6175419866525;-45.4064950775007;0.807666666666667;1;0.16853;0.4849848;1
2018/09/04 02:22:28;23.9729260405928;-46.0676257994532;0.813666666666667;1;0.4730377;0.5180421;1
2018/09/04 02:22:31;23.3400261032444;-44.6889796823459;0.81;1;0.6849646;0.5396567;0
2018/09/04 02:22:39;24.4034155423804;-46.8739923620083;0.809666666666667;1;0.2211237;0.4937554;1
2018/09/04 02:22:45;24.6925030868509;-47.3905509973182;0.81;1;0.005307585;0.4106136;1
2018/09/04 02:22:49;24.7459796359576;-47.4950852120331;0.816428571428571;1;0.01554872;0.4336843;0
2018/09/04 02:22:57;18.7042688066429;-35.7426020594344;0.802619047619048;1;0.04631964;0.4386784;1
2018/09/04 02:23:03;18.9154526079507;-36.1523023440434;0.805714285714286;1;0;0;1
2018/09/04 02:23:12;18.9154279186694;-36.1522535482425;0.810952380952381;1;0.009739023;0.3953723;0
2018/09/04 02:23:19;13.1270681075328;-24.824459678503;0.781666666666667;1;0;0;1
2018/09/04 02:23:24;13.1301786031425;-24.8306132562929;0.785;1;0;0;1
2018/09/04 02:23:30;13.1302091904947;-24.8306741202859;0.790952380952381;1;0.01119814;0.3483378;1
2018/09/04 02:23:35;13.2020874214618;-24.9720540845365;0.793809523809524;1;0.03403809;0.3946989;1
2018/09/04 02:23:41;13.3518947829972;-25.2648771382598;0.805952380952381;1;0;0;1
