Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/10 05:07:08;0;0;0;0;0;0;1
2018/09/10 05:07:21;0;0;0;0;0.5;0.07654379;1
2018/09/10 05:07:33;19.2028947644902;1.77635683940025E-15;0;0;0.5;0.1401203;1
2018/09/10 05:07:44;20.2028947690641;0;0;0;0.5;0.2114045;1
2018/09/10 05:07:55;20.2028947690641;1.77635683940025E-15;0;0;0.5;0.2944667;1
2018/09/10 05:08:03;20.2028947690641;-3.33066907387547E-15;0;0;0.5;0.3447593;0
2018/09/10 05:08:14;244.747804105354;-766.237333708289;0;0;0.5;0.2511397;1
2018/09/10 05:08:29;243.673441342917;-763.082530112054;0;0;0.5;0.308367;1
2018/09/10 05:08:37;352.748308894395;-1080.92916855006;0;0;0.5;0.3926117;0
2018/09/10 05:08:47;351.721144527651;-1077.37594845063;0;0;0.5;0.299684;1
2018/09/10 05:08:55;351.565255417846;-1076.96382970353;0;0;0.5;0.3622306;1
2018/09/10 05:09:06;15.193866924435;-42.8146641286374;0;0;0.5;0.4219154;1
2018/09/10 05:09:19;6.51689309764777;-15.7907876732788;0;0;0.5;0.4921456;1
2018/09/10 05:09:29;3.53393623474657;-6.1939579260487;0;0;0.5;0.5656443;1
2018/09/10 05:09:41;2.83591834755184;-3.4417622410379;0;0;0.5;0.6350188;1
2018/09/10 05:09:53;2.40238627357587;-1.75142186877667;0;0;0.5;0.7191119;1
2018/09/10 05:09:58;2.1110257617742;-0.645345419789072;0;0;0.5;0.7932169;0
2018/09/10 05:10:05;3.1776467628036;-3.86835834293471;0;0;0.5;0.7318132;0
2018/09/10 05:10:16;3.57456405706068;-5.12632501063621;0.705;1;0.209017;0.4376826;1
2018/09/10 05:10:22;3.7428562006987;-5.29451665294139;0.735;1;0.2130362;0.4601243;0
2018/09/10 05:10:34;3.15592168185519;-4.72416873240008;0.71;1;0.1705862;0.3332742;1
2018/09/10 05:10:47;3.27747179358432;-4.88572536880982;0.713333333333333;1;0.2005123;0.387737;1
2018/09/10 05:10:59;3.38370573107426;-4.99770093778738;0.733333333333333;1;0.2337277;0.4394671;1
2018/09/10 05:11:05;3.465594289523;-5.03997306327749;0.763333333333333;1;0.1582001;0.3559369;1
2018/09/10 05:11:18;3.56422777347673;-5.16702710378097;0.76;1;0.1726529;0.3865446;0
2018/09/10 05:11:33;3.17484962719191;-4.75363044961642;0.75;1;0.1765389;0.3439213;1
2018/09/10 05:11:46;3.27303750595809;-4.88475523880993;0.736666666666667;1;0.1881188;0.3706956;1
2018/09/10 05:11:59;3.36114408222944;-4.98895335584441;0.738333333333333;1;0.2150973;0.4142501;1
2018/09/10 05:12:06;3.43168545642473;-5.04170282958737;0.758333333333333;1;0.2112853;0.4194;1
2018/09/10 05:12:17;3.49717307377126;-5.08712776579114;0.768333333333333;1;0.2042458;0.4201205;1
2018/09/10 05:12:28;3.55972150614334;-5.1313690904669;0.76;1;0.1846653;0.4043108;1
2018/09/10 05:12:40;3.89583701036904;-5.65409323538383;0.786666666666667;1;0.2199764;0.4651556;1
2018/09/10 05:12:57;3.96531783884593;-5.68586059968404;0.768333333333333;1;0.1866743;0.4385531;1
2018/09/10 05:13:04;4.03624880307637;-5.74405699763639;0.793333333333333;1;0.1512365;0.4023834;0
2018/09/10 05:13:18;3.42516982675142;-4.90628238990816;0.7775;1;0.1732485;0.3795934;1
2018/09/10 05:13:27;3.49197271099428;-4.9884763384684;0.775;1;0.1545682;0.3593804;1
2018/09/10 05:13:36;3.79042168542031;-5.48435571171746;0.769166666666667;1;0.1697685;0.4017158;1
2018/09/10 05:13:44;3.86151582903143;-5.56684248205326;0.799166666666667;1;0.2183131;0.4645348;1
2018/09/10 05:13:53;3.89897348598995;-5.55600591871204;0.800833333333333;1;0.2067702;0.459767;1
2018/09/10 05:14:00;3.95205452744229;-5.57898032946144;0.798333333333333;1;0.2358667;0.4976857;0
2018/09/10 05:14:03;3.67562926456822;-5.378465020106;0.79;1;0.2010695;0.4268887;0
2018/09/10 05:14:12;3.51325448058275;-5.28239586991016;0.7515;1;0.2101624;0.4144535;1
2018/09/10 05:14:27;3.56232218845333;-5.32543196876984;0.772;1;0.2410077;0.4535143;1
2018/09/10 05:14:36;3.58798288548609;-5.3063030524027;0.7945;1;0.2361862;0.4549833;1
2018/09/10 05:14:49;3.61227614615262;-5.28675251019706;0.782;1;0.2128079;0.4358429;1
2018/09/10 05:14:59;3.64775093351566;-5.30079312961788;0.798;1;0.1541957;0.3670555;1
2018/09/10 05:15:03;3.70682378012271;-5.38793992447395;0.803;1;0.4743011;0.6688897;0
2018/09/10 05:15:11;4.0078818620348;-6.21017252710302;0.788;1;0.6652392;0.7559552;1
2018/09/10 05:15:20;3.54458789961229;-5.01647657660489;0.764;1;0.2480522;0.4855121;1
2018/09/10 05:15:28;3.55907383087106;-4.98031239482402;0.7675;1;0.4837142;0.7015439;1
2018/09/10 05:15:34;3.33181671934829;-4.36634558104193;0.768;1;0.7089131;0.9669248;0
2018/09/10 05:15:41;3.59364108703843;-4.98126504944606;0.768333333333333;1;0.218114;0.4651329;1
2018/09/10 05:15:49;3.62711972198562;-4.99679345775778;0.775666666666667;1;0.4555017;0.6901735;1
2018/09/10 05:15:59;3.66435891986063;-4.88204510512259;0.784;1;0.7261904;0.9503677;0
2018/09/10 05:16:09;3.88032079623799;-5.37149204743684;0.778666666666667;1;0.2136894;0.4798467;1
2018/09/10 05:16:16;3.92243457020745;-5.40089400606832;0.799;1;0.5366707;0.7534643;0
2018/09/10 05:16:25;4.09640052452881;-5.84607303805865;0.785666666666667;1;0.7341558;0.8744693;0
2018/09/10 05:16:36;4.25578911907314;-6.21057883433876;0.793;1;0.2177537;0.4793408;0
2018/09/10 05:16:43;3.9135204022997;-5.78777900004991;0.778333333333333;1;0.5195224;0.6896687;0
2018/09/10 05:16:49;4.01278420093223;-6.07900078520621;0.773666666666667;1;0.6668535;0.7742674;0
2018/09/10 05:16:59;4.12852008559432;-6.36982844663065;0.785;1;0.1842792;0.4145952;1
2018/09/10 05:17:08;4.17715245313863;-6.42946227341947;0.786904761904762;1;0.1610268;0.3929635;1
2018/09/10 05:17:17;4.22445326411097;-6.49173375560788;0.796666666666667;1;0.1978641;0.4351312;1
