Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 06:15:00;0;0;0;0;0;0;1
2018/09/12 06:15:12;0;0;0;0;0.5;0.07850742;1
2018/09/12 06:15:23;19.2028947644902;-1.77635683940025E-14;0;0;0.5;0.1545853;1
2018/09/12 06:15:33;20.2028947690641;3.5527136788005E-15;0;0;0.5;0.2298715;1
2018/09/12 06:15:43;20.2028947690641;-6.21724893790088E-15;0;0;0.5;0.3139776;1
2018/09/12 06:16:00;20.2028947690641;-3.33066907387547E-15;0;0;0.5;0.3662718;1
2018/09/12 06:16:09;21.2028947707468;-3.99680288865056E-15;0;0;0.5;0.4313146;1
2018/09/12 06:16:20;21.2028947707468;4.66293670342566E-15;0;0;0.5;0.4875468;0
2018/09/12 06:16:38;320.638704612226;-698.312909483246;0;0;0.5;0.416807;1
2018/09/12 06:16:47;320.524048387832;-698.211012960241;0;0;0.5;0.4903008;1
2018/09/12 06:16:56;25.1558310197128;-51.3186658802362;0;0;0.5;0.5883119;0
2018/09/12 06:17:01;20.5408421971914;-41.6956974341212;0;0;0.5;0.5360311;0
2018/09/12 06:17:13;23.8829993815049;-48.9955090022742;0;0;0.5;0.4674353;1
2018/09/12 06:17:23;37.0265974957479;-75.2643915373515;0;0;0.5;0.5642375;1
2018/09/12 06:17:27;11.5634476108965;-21.9097529326315;0;0;0.5;0.6158438;0
2018/09/12 06:17:37;12.6869531397314;-24.2527775740113;0.81;1;0.1500559;0.4516097;1
2018/09/12 06:17:48;13.5996611740525;-25.8556986294753;0.82;1;0.2095342;0.4746314;1
2018/09/12 06:17:56;14.4224802970732;-27.2170661174039;0.82;1;0.1901883;0.4766749;0
2018/09/12 06:18:07;12.3936011641088;-24.0126009883475;0.825;1;0.2193143;0.463254;0
2018/09/12 06:18:19;8.71458083384503;-17.232774362614;0.78;1;0.1564261;0.4079156;1
2018/09/12 06:18:31;9.22252299338746;-18.1758691192883;0.795;1;0.2311204;0.4412734;1
2018/09/12 06:18:39;9.65913871161103;-18.9213386460871;0.796666666666667;1;0.1711682;0.4271245;1
2018/09/12 06:18:45;10.0913132988969;-19.7035956058428;0.8;1;0.2295367;0.4506987;0
2018/09/12 06:18:55;9.20239688422742;-18.316983025295;0.761666666666667;1;0.1701739;0.4158983;1
2018/09/12 06:19:07;9.61030582882949;-19.0774236037787;0.771666666666667;1;0.2113754;0.4347365;1
2018/09/12 06:19:20;9.96272810278656;-19.6982392139874;0.786666666666667;1;0.1647415;0.4233558;1
2018/09/12 06:19:30;10.3124294745734;-20.3436370000268;0.8;1;0.1948062;0.4371564;0
2018/09/12 06:19:39;9.31862229367208;-18.6517771932347;0.738333333333333;1;0.22569;0.4335143;1
2018/09/12 06:19:49;9.61762538158161;-19.1777851310853;0.763333333333333;1;0.1917911;0.4264941;1
2018/09/12 06:19:54;9.92058790873193;-19.7315918256229;0.78;1;0.2009751;0.4328276;0
2018/09/12 06:20:05;9.03447011773321;-18.1912966308809;0.756666666666667;1;0.2229696;0.4280083;1
2018/09/12 06:20:15;9.30926284772942;-18.6871484842374;0.754166666666667;1;0.2023551;0.4247638;1
2018/09/12 06:20:24;9.58064857500342;-19.1864463257681;0.771666666666667;1;0.1609572;0.4132878;1
2018/09/12 06:20:35;9.8570528365439;-19.7167765609793;0.769166666666667;1;0.1969133;0.4286377;1
2018/09/12 06:20:47;10.0922179265526;-20.142505592027;0.781666666666667;1;0.1691648;0.4220259;1
2018/09/12 06:20:58;10.3313429769453;-20.5902198537279;0.775;1;0.1818745;0.42873;1
2018/09/12 06:21:07;11.975777968034;-24.0719328902968;0.793333333333333;1;0.2088088;0.4421605;1
2018/09/12 06:21:16;12.1702835624477;-24.4010266233899;0.803333333333333;1;0.1573251;0.4299826;1
2018/09/12 06:21:23;12.4082875817816;-24.8494283199081;0.804166666666667;1;0.2033778;0.4443954;1
2018/09/12 06:21:33;12.577195676296;-25.1266400155423;0.8175;1;0.2475811;0.4563141;1
2018/09/12 06:21:36;12.6485573256289;-25.1723837582113;0.8225;1;0.1977673;0.4468488;0
2018/09/12 06:21:49;12.1161155185717;-24.3429811821368;0.7965;1;0.2488238;0.4523365;1
2018/09/12 06:21:59;12.2045218652582;-24.4387206765091;0.809;1;0.2165632;0.4467793;1
2018/09/12 06:22:13;12.340346027316;-24.6517358976092;0.811;1;0.1840837;0.4401891;1
2018/09/12 06:22:21;12.5136310356285;-24.9599137949765;0.81;1;0.2497056;0.4572711;1
2018/09/12 06:22:34;12.5543628233581;-24.9537114531186;0.815;1;0.1947543;0.4462244;1
2018/09/12 06:22:45;12.6890533439605;-25.174376665102;0.8195;1;0.52931;0.5087088;1
2018/09/12 06:22:54;10.6225365894977;-20.5357235374196;0.812;1;0.7424396;0.5688245;1
2018/09/12 06:23:05;9.0000417140416;-16.8138152792031;0.7885;1;0.1580429;0.4357833;1
2018/09/12 06:23:13;9.13662601413212;-17.0566617719041;0.791;1;0.4565871;0.5254566;1
2018/09/12 06:23:24;8.67291349320991;-15.9298104575738;0.798;1;0.7084062;0.6001685;1
2018/09/12 06:23:29;7.26644613814094;-12.747059036103;0.758;1;0.2428686;0.4808505;0
2018/09/12 06:23:42;5.6442651372422;-9.63446957543281;0.743666666666667;1;0.4982286;0.5851053;0
2018/09/12 06:23:52;7.93045360297008;-14.465082206474;0.758666666666667;1;0.743645;0.6218737;0
2018/09/12 06:24:00;8.43967352334;-15.5921763373832;0.775;1;0.1621032;0.4359245;1
2018/09/12 06:24:08;8.56281065231949;-15.8075963378624;0.782666666666667;1;0.5279213;0.5487623;1
2018/09/12 06:24:13;8.1360290985918;-14.7885310830333;0.771;1;0.7005662;0.6076347;0
2018/09/12 06:24:22;8.58800324695078;-15.7936686982264;0.772;1;0.2244467;0.4652538;1
2018/09/12 06:24:29;8.67239543278347;-15.9132874465473;0.777333333333333;1;0.5114808;0.5478646;1
2018/09/12 06:24:34;8.33739144426203;-15.1048851921499;0.782;1;0.723137;0.6155272;0
2018/09/12 06:24:44;8.72895124021246;-15.9667760825958;0.773333333333333;1;0.2271653;0.4700112;1
