Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/10 11:22:49;0;0;0;0;0;0;1
2018/09/10 11:22:58;0;0;0;0;0.5;0.07458104;1
2018/09/10 11:23:09;19.2028947644902;-5.32907051820075E-15;0;0;0.5;0.1292313;1
2018/09/10 11:23:17;20.2028947690641;1.24344978758018E-14;0;0;0.5;0.1814187;1
2018/09/10 11:23:24;20.2028947690641;-3.10862446895044E-15;0;0;0.5;0.2739239;1
2018/09/10 11:23:30;20.2028947690641;-4.88498130835069E-15;0;0;0.5;0.3358591;1
2018/09/10 11:23:38;21.2028947707468;4.88498130835069E-15;0;0;0.5;0.4303893;1
2018/09/10 11:23:45;21.2028947707468;5.88418203051333E-15;0;0;0.5;0.4946481;1
2018/09/10 11:23:52;21.2028947707468;-3.13638004456607E-15;0;0;0.5;0.5616086;0
2018/09/10 11:24:00;307.228562708471;-582.102192779129;0;0;0.5;0.483881;1
2018/09/10 11:24:12;307.365804399691;-582.468779453854;0;0;0.5;0.5522872;1
2018/09/10 11:24:22;2212.31018436866;-3972.29106021127;0;0;0.5;0.6293626;1
2018/09/10 11:24:28;5.6233938367864;-7.52248501424158;0;0;0.5;0.7078717;0
2018/09/10 11:24:36;10.4150593350883;-16.7008277588779;0;0;0.5;0.620129;0
2018/09/10 11:24:45;11.5238991332431;-19.3179034504558;0;0;0.5;0.5278735;1
2018/09/10 11:24:52;12.4618299321317;-20.6905350989685;0;0;0.5;0.6117437;0
2018/09/10 11:25:00;13.5187361224935;-23.0307358967451;0.855;1;0.2467597;0.5385311;1
2018/09/10 11:25:06;14.4849085526154;-24.4593831232289;0.87;1;0.2204909;0.5405738;0
2018/09/10 11:25:16;12.5408430278019;-21.7223711326277;0.825;1;0.1687098;0.5039065;1
2018/09/10 11:25:25;13.4294598589615;-23.1677384470494;0.815;1;0.1575553;0.5072972;0
2018/09/10 11:25:35;10.6834431978933;-18.8254532263565;0.8;1;0.2013822;0.4943183;1
2018/09/10 11:25:43;11.4009956756503;-20.0001898799117;0.795;1;0.1585782;0.4866029;1
2018/09/10 11:25:52;12.0544022591164;-21.0908767654385;0.818333333333333;1;0.1747576;0.4979464;1
2018/09/10 11:26:02;12.6456583306606;-22.0600335802731;0.825;1;0.1555545;0.4965529;1
2018/09/10 11:26:10;13.1897684030443;-22.9580830840087;0.83;1;0.1606524;0.5024979;1
2018/09/10 11:26:17;13.6863540033731;-23.7675558109376;0.84;1;0.2384279;0.5269804;1
2018/09/10 11:26:24;14.0297324530351;-24.2481520920904;0.805;1;0.1773256;0.5153036;1
2018/09/10 11:26:31;14.439302826256;-24.890294029082;0.833333333333333;1;0.2368415;0.5331085;1
2018/09/10 11:26:38;15.8519420622312;-27.3178382767018;0.848333333333333;1;0.1559741;0.5184689;1
2018/09/10 11:26:46;16.2586876428982;-27.9649415288499;0.853333333333333;1;0.2153487;0.5351596;1
2018/09/10 11:26:59;16.525511657628;-28.3198320866134;0.86;1;0.2116251;0.537092;1
2018/09/10 11:27:06;16.855691312096;-28.7940481071203;0.8575;1;0.2455097;0.5463971;1
2018/09/10 11:27:16;16.9690283804002;-28.8546025782742;0.8675;1;0.2449903;0.5490811;1
2018/09/10 11:27:25;17.0561573042125;-28.8711673992419;0.855833333333333;1;0.177529;0.5376637;1
2018/09/10 11:27:34;17.3175920690849;-29.2448573421146;0.868333333333333;1;0.2124538;0.5473576;1
2018/09/10 11:27:43;17.4594674621185;-29.3833985565423;0.878333333333334;1;0.1791487;0.5423927;1
2018/09/10 11:27:54;17.674664814572;-29.6745180599822;0.875;1;0.1511353;0.5374625;1
2018/09/10 11:28:02;17.9334099666974;-30.0604680398696;0.875;1;0.2377718;0.5578248;0
2018/09/10 11:28:11;18.2264770595971;-30.9763874554562;0.859166666666667;1;0.2041004;0.5444669;1
2018/09/10 11:28:22;18.3837869217102;-31.1665234148185;0.860833333333333;1;0.2471049;0.5541098;1
2018/09/10 11:28:29;18.3592324906121;-31.0080506378656;0.8525;1;0.1626569;0.5392355;1
2018/09/10 11:28:37;18.5933652523209;-31.3586429734622;0.863;1;0.2052728;0.5497593;1
2018/09/10 11:28:44;18.6830372998817;-31.4288666843902;0.8665;1;0.2411796;0.5579843;1
2018/09/10 11:28:52;18.6121110868262;-31.1942280015702;0.8695;1;0.1659926;0.5449025;1
2018/09/10 11:28:59;18.7904840497523;-31.4441868117637;0.864;1;0.2120431;0.5558366;1
2018/09/10 11:29:09;18.7984648648383;-31.3674626415422;0.873;1;0.1884479;0.5527492;1
2018/09/10 11:29:18;18.8759785769562;-31.4272494024726;0.8655;1;0.5280332;0.6041964;1
2018/09/10 11:29:25;16.8655718680919;-27.6142262211727;0.8375;1;0.741851;0.6489837;0
2018/09/10 11:29:34;18.4228138351069;-30.4831435702217;0.8565;1;0.1516922;0.5478905;1
2018/09/10 11:29:42;18.6134929424624;-30.7636744572702;0.8525;1;0.4662936;0.6006585;1
2018/09/10 11:29:48;17.5485769842546;-28.7048395551992;0.852;1;0.6750692;0.6368188;1
2018/09/10 11:29:56;14.7332055597884;-23.5505043848475;0.842666666666667;1;0.1812113;0.5615609;1
2018/09/10 11:30:02;15.286400151854;-24.4355740362016;0.842333333333333;1;0.530912;0.6306463;1
2018/09/10 11:30:11;13.6667469760763;-21.4625860405348;0.821333333333333;1;0.7477473;0.6874;1
2018/09/10 11:30:18;11.1364699150617;-16.8419479335097;0.838333333333333;1;0.2469081;0.5950202;0
2018/09/10 11:30:28;9.86413285990237;-14.9235249672461;0.817;1;0.5276212;0.6683897;0
2018/09/10 11:30:38;12.4809786516693;-19.4916131985851;0.824;1;0.6945167;0.6824628;0
2018/09/10 11:30:47;13.2912136779805;-20.9621971499276;0.822;1;0.1558122;0.5534482;1
2018/09/10 11:30:56;13.4398969814928;-21.177727669999;0.822;1;0.5415548;0.642491;1
2018/09/10 11:31:03;12.6877016136378;-19.7559216888203;0.822333333333333;1;0.6917669;0.6831417;1
2018/09/10 11:31:07;10.2077159940992;-15.448480577578;0.815;1;0.2468734;0.58856;0
2018/09/10 11:31:18;10.2026836273734;-15.594673631455;0.798095238095238;1;0.1745725;0.5546203;1
