Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 06:15:04;0;0;0;0;0;0;1
2018/09/12 06:15:15;0;0;0;0;0.5;0.09638438;1
2018/09/12 06:15:19;19.2028947644902;-5.32907051820075E-15;0;0;0.5;0.1807491;0
2018/09/12 06:15:33;64.7491283062468;-469.027606806403;0;0;0.5;0.0883534;1
2018/09/12 06:15:40;64.2193943299309;-465.804046375322;0;0;0.5;0.1471673;0
2018/09/12 06:15:51;95.5556592950172;-785.387406710994;0;0;0.5;0.08722671;1
2018/09/12 06:16:02;95.0199799432241;-781.46402618039;0;0;0.5;0.1535883;0
2018/09/12 06:16:16;94.7219881600198;-778.616359025242;0;0;0.5;0.08979322;1
2018/09/12 06:16:29;94.3430297421767;-775.814149015243;0;0;0.5;0.1702529;1
2018/09/12 06:16:39;5.62595602840925;-39.445627931524;0;0;0.5;0.2600917;1
2018/09/12 06:16:50;1.9227713198945;-8.81568092038646;0;0;0.5;0.3177741;1
2018/09/12 06:17:00;1.26110371954988;-2.43319516579815;0;0;0.5;0.3903213;1
2018/09/12 06:17:07;1.00551528468195;0.554581622194739;0;0;0.5;0.4689833;1
2018/09/12 06:17:18;0.793943019021117;2.25595926081124;0;0;0.5;0.5218493;1
2018/09/12 06:17:27;0.732524687614177;1.93257748085806;0;0;0.5;0.574354;1
2018/09/12 06:17:31;0.714690330943348;2.0524027868871;0;0;0.5;0.6566707;0
2018/09/12 06:17:41;1.2954308477609;-0.740179138418482;0.755;1;0.1731232;0;1
2018/09/12 06:17:53;1.48763546387997;-1.19024633606458;0.76;1;0.1847228;0.002490056;1
2018/09/12 06:18:02;1.63959602994279;-1.54242582808508;0.79;1;0.1782809;0.07232624;1
2018/09/12 06:18:17;1.76007074356036;-1.78594552767888;0.785;1;0.1881459;0.1668404;1
2018/09/12 06:18:29;1.8539227696435;-1.91795016604853;0.8;1;0.2044866;0.2583163;1
2018/09/12 06:18:36;1.92027431079713;-1.92896231341544;0.795;1;0.1722494;0.181707;1
