Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/10 11:01:50;0;0;0;0;0;0;1
2018/09/10 11:02:02;0;0;0;0;0.5;0.07515576;1
2018/09/10 11:02:12;19.2028947644902;8.88178419700125E-15;0;0;0.5;0.1294738;1
2018/09/10 11:02:23;20.2028947690641;1.0547118733939E-14;0;0;0.5;0.2043261;1
2018/09/10 11:02:38;20.2028947690641;-4.88498130835069E-15;0;0;0.5;0.2758881;1
2018/09/10 11:02:47;20.2028947690641;-1.59872115546023E-14;0;0;0.5;0.371227;1
2018/09/10 11:02:58;21.2028947707468;-2.66453525910038E-15;0;0;0.5;0.4502391;1
2018/09/10 11:03:16;21.2028947707468;-5.77315972805081E-15;0;0;0.5;0.5029535;0
2018/09/10 11:03:31;351.120889316899;-737.056480954067;0;0;0.5;0.4160826;1
2018/09/10 11:03:35;350.241157367128;-735.365197163792;0;0;0.5;0.4819208;0
2018/09/10 11:03:42;578.854432899266;-1242.08827646888;0;0;0.5;0.411397;0
2018/09/10 11:03:53;11.9170367211432;-27.2431087742232;0;0;0.5;0.3549015;1
2018/09/10 11:04:06;13.2630822766714;-30.1965334051941;0;0;0.5;0.4112494;1
2018/09/10 11:04:16;14.4445959119784;-32.414704015966;0;0;0.5;0.4676135;1
2018/09/10 11:04:28;14.9384240762806;-32.3496649687433;0;0;0.5;0.5213826;1
2018/09/10 11:04:36;6.50966949667359;-12.7417445940834;0;0;0.5;0.6022856;0
2018/09/10 11:04:43;7.61094637879172;-15.3942011515263;0.76;1;0.1896329;0.4000565;0
2018/09/10 11:04:58;6.32543838228642;-13.2274580055258;0.695;1;0.1806352;0.3638937;1
2018/09/10 11:05:12;6.74599889368221;-14.0375219809189;0.695;1;0.1568816;0.3607747;1
2018/09/10 11:05:25;7.13197316011248;-14.7933992824936;0.74;1;0.2156996;0.3948428;1
2018/09/10 11:05:30;7.45918405749239;-15.3699636014415;0.745;1;0.1889082;0.3905061;0
2018/09/10 11:05:40;6.42339403458346;-13.5610896574758;0.713333333333333;1;0.1722206;0.3578933;1
2018/09/10 11:05:49;6.75174247027905;-14.2135223232314;0.678333333333333;1;0.1503406;0.3531714;0
2018/09/10 11:05:59;4.49130319950653;-9.45340073328562;0.676666666666667;1;0.1624934;0.3016387;0
2018/09/10 11:06:10;3.63847310398335;-7.76121222504375;0.66;1;0.2288816;0.3123012;1
2018/09/10 11:06:24;3.82899408357054;-8.12944295979588;0.665;1;0.1982059;0.2990917;1
2018/09/10 11:06:32;4.01186888876392;-8.49803517509318;0.68;1;0.16933;0.2849465;1
2018/09/10 11:06:48;4.18180920013766;-8.85228600724065;0.706666666666667;1;0.2465077;0.3461799;1
2018/09/10 11:06:59;4.31367882444273;-9.07054670225672;0.706666666666667;1;0.2263555;0.3400757;1
2018/09/10 11:07:11;4.445571640468;-9.30154200668636;0.725;1;0.2418262;0.3550893;1
2018/09/10 11:07:23;5.25284746208709;-11.1146048583616;0.723333333333333;1;0.200857;0.3483615;1
2018/09/10 11:07:32;5.42013485230669;-11.4333060982213;0.715;1;0.2327785;0.3697484;1
2018/09/10 11:07:44;5.55251875090301;-11.6494839324789;0.736666666666667;1;0.2419162;0.3785847;1
2018/09/10 11:07:51;5.6645046153397;-11.8113855540588;0.7475;1;0.226303;0.375502;1
2018/09/10 11:07:58;5.78079877264382;-11.9930270918599;0.754166666666667;1;0.1708219;0.3502856;1
2018/09/10 11:08:06;5.92858163701897;-12.2813614449318;0.759166666666667;1;0.1690922;0.3530966;1
2018/09/10 11:08:18;6.06902113480543;-12.5529222379506;0.77;1;0.2092469;0.3775655;1
2018/09/10 11:08:23;6.31292711591247;-13.0437491865225;0.771666666666667;1;0.1975607;0.3765265;0
2018/09/10 11:08:34;5.80974796760069;-12.1573577155078;0.75;1;0.1631962;0.3434226;1
2018/09/10 11:08:44;5.94975723422641;-12.4421405642336;0.765;1;0.2492112;0.3895578;1
2018/09/10 11:08:56;6.01002668641892;-12.4890893475724;0.7675;1;0.1551526;0.345524;1
2018/09/10 11:09:05;6.14125654678242;-12.7560690309114;0.763;1;0.1706115;0.3574735;0
2018/09/10 11:09:12;5.63355727042825;-11.7958815183557;0.753;1;0.2144997;0.3675473;1
2018/09/10 11:09:19;5.7289911384842;-11.9577763206519;0.768;1;0.1519486;0.3353125;1
2018/09/10 11:09:32;5.85842159063419;-12.2312053931425;0.7635;1;0.2025912;0.3669503;1
2018/09/10 11:09:41;5.95008861041488;-12.3891075038597;0.7635;1;0.1554409;0.3436518;1
2018/09/10 11:09:51;6.0672870185833;-12.630753536781;0.7755;1;0.4625813;0.4684861;1
2018/09/10 11:10:02;5.71608769421085;-11.5695073472283;0.783;1;0.6969761;0.5660593;0
2018/09/10 11:10:11;6.21912891510564;-12.9364719475511;0.7765;1;0.1845585;0.3658931;0
2018/09/10 11:10:19;5.84307350223909;-12.2654431990409;0.773;1;0.453571;0.4611999;1
2018/09/10 11:10:26;5.61624006707174;-11.5502671838247;0.788;1;0.6685281;0.5469809;0
2018/09/10 11:10:37;6.01850923175602;-12.6531110878605;0.788333333333333;1;0.2125387;0.3721471;1
2018/09/10 11:10:47;6.10495421542605;-12.802611669662;0.814;1;0.4566471;0.4632731;1
2018/09/10 11:10:55;5.91227539698215;-12.1890712049931;0.795333333333333;1;0.6528066;0.5368477;1
2018/09/10 11:11:07;5.31746191259624;-10.5454624372868;0.770666666666667;1;0.1739909;0.3565381;1
2018/09/10 11:11:14;5.40783709949794;-10.7172527356163;0.782;1;0.4905523;0.5010651;0
