Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/10 01:07:24;0;0;0;0;0;0;0
2018/09/10 01:07:55;0;0;0;0;0.5;0;1
2018/09/10 01:08:11;0;0;0;0;0.5;0.06322715;1
2018/09/10 01:08:28;1.1650605519422E-16;414.424704951537;0;0;0.5;0.1350863;1
2018/09/10 01:08:38;1.42407808925875E-16;391.283961947124;0;0;0.5;0.233612;1
2018/09/10 01:08:54;2.45199400085807E-17;375.040592428249;0;0;0.5;0.3297919;1
2018/09/10 01:09:06;-2.0228315701442E-16;363.422701946896;0;0;0.5;0.3923557;1
2018/09/10 01:09:20;3.78490385574003E-17;355.288918252827;0;0;0.5;0.4435439;1
2018/09/10 01:09:31;-1.79049212522403E-16;349.049072238334;0;0;0.5;0.517783;0
2018/09/10 01:09:43;1.47175471179439;-0.899211836668101;0;0;0.5;0.4582025;1
2018/09/10 01:09:52;1.39039853326335;-0.0522356394540507;0;0;0.5;0.5187714;1
2018/09/10 01:09:56;1.30882825374355;0.716010007349712;0;0;0.5;0.6138805;0
2018/09/10 01:10:02;1.85091385019427;-2.25884602225014;0;0;0.5;0.5578828;0
2018/09/10 01:10:14;2.07447328922963;-3.52095864569659;0.62;1;0.2207175;0.2308982;1
2018/09/10 01:10:24;2.30950825684836;-3.91423246124771;0.635;1;0.1838128;0.2091807;0
2018/09/10 01:10:39;1.57193865359048;-2.65183199988535;0.595;0;0.5;0.1142732;1
2018/09/10 01:10:53;1.78311794851678;-3.07305339589394;0.575;0;0.5;0.1988657;1
2018/09/10 01:11:03;1.95466644357781;-3.36629545981214;0.68;1;0.1971279;0.1634806;0
2018/09/10 01:11:15;1.39566258549586;-2.33376892924641;0.62;1;0.1941454;0;1
2018/09/10 01:11:27;1.57497508758917;-2.75049074825974;0.625;1;0.1975136;0.06292234;1
2018/09/10 01:11:39;1.71988765077429;-3.06414476640171;0.645;1;0.184273;0.07578829;1
2018/09/10 01:11:50;1.84740602397237;-3.33474981232476;0.683333333333333;1;0.2279437;0.1881542;1
2018/09/10 01:12:08;1.95537038516681;-3.50599609204045;0.678333333333333;1;0.2083313;0.1769417;1
2018/09/10 01:12:18;2.05886996830484;-3.68054011923743;0.718333333333333;1;0.218815;0.213633;0
2018/09/10 01:12:29;1.76303057738138;-3.2781035570609;0.666666666666667;1;0.1762029;0.06733849;0
2018/09/10 01:12:47;1.33434973697426;-2.31270396836891;0.606666666666667;1;0.1672888;0;1
2018/09/10 01:13:04;1.44829880557418;-2.59806818959781;0.65;1;0.1604644;0;1
2018/09/10 01:13:25;1.54595776349432;-2.84241715138769;0.656666666666667;1;0.2035208;0.06386293;1
2018/09/10 01:13:38;1.63222174400741;-3.03464486749864;0.686666666666667;1;0.182514;0.04376615;1
2018/09/10 01:13:50;1.71260413607915;-3.22131109605696;0.67;1;0.2466643;0.1850555;1
2018/09/10 01:14:00;1.77817985668955;-3.3030692786547;0.693333333333334;1;0.2042457;0.1266134;1
2018/09/10 01:14:15;1.84718886045068;-3.43086830602673;0.705;1;0.1920758;0.1196812;1
2018/09/10 01:14:24;1.91343754292214;-3.5576977428738;0.7225;1;0.1860155;0.122924;1
2018/09/10 01:14:36;1.97656037423794;-3.67747976003848;0.719166666666667;1;0.249376;0.2378306;1
2018/09/10 01:14:48;2.02499365134488;-3.69484054115072;0.725;1;0.1850965;0.1469079;1
2018/09/10 01:14:57;2.08268478429907;-3.79521864714548;0.7525;1;0.2197484;0.2148893;1
2018/09/10 01:15:06;2.13184309228898;-3.83862720073709;0.761666666666667;1;0.181822;0.1635458;1
2018/09/10 01:15:14;2.18492996872908;-3.92453428605923;0.776666666666667;1;0.1940472;0.1939099;1
2018/09/10 01:15:23;2.23380591437554;-3.98622780718022;0.766666666666667;1;0.1577374;0.140144;1
2018/09/10 01:15:32;2.28493554145785;-4.08208355080502;0.774166666666667;1;0.1585542;0.1508814;1
2018/09/10 01:15:40;2.33394526559771;-4.16958443333091;0.78;1;0.1761044;0.189702;1
2018/09/10 01:15:49;2.37910574462295;-4.2306760921893;0.785;1;0.1510529;0.1542871;1
2018/09/10 01:15:59;2.42519394706963;-4.31267700149562;0.8;1;0.181844;0.2136238;1
2018/09/10 01:16:08;2.4657964733576;-4.35322072010769;0.8155;1;0.1683378;0.1994714;1
2018/09/10 01:16:19;2.50683733691851;-4.40494735695165;0.805;1;0.1757051;0.2181902;1
2018/09/10 01:16:30;2.54510566718721;-4.44160695859534;0.805;1;0.2348513;0.3070934;1
2018/09/10 01:16:40;2.56617600139378;-4.37505106402943;0.8135;1;0.4903037;0.5776815;1
2018/09/10 01:16:44;2.4386860255793;-3.60881180998724;0.816;1;0.693341;0.9018124;0
2018/09/10 01:16:52;2.59064032181665;-4.3032521419035;0.816;1;0.2047824;0.2867534;1
2018/09/10 01:16:55;2.62286155167343;-4.30548481963509;0.815;1;0.4900619;0.5999566;0
2018/09/10 01:17:02;2.71375917572835;-4.85942188121614;0.804;1;0.6663157;0.7007681;0
2018/09/10 01:17:11;2.80404189341719;-5.30242933049845;0.815666666666667;1;0.1668014;0.2254766;1
2018/09/10 01:17:16;2.84940126535998;-5.36413819227166;0.834;1;0.4552174;0.4977108;0
2018/09/10 01:17:24;2.88290861502803;-5.71087851718981;0.820666666666667;1;0.7004541;0.6535544;0
2018/09/10 01:17:37;2.95151523596344;-6.04892671035092;0.857666666666667;1;0.2077629;0.2666675;1
2018/09/10 01:17:45;2.9937491812959;-6.09132716296508;0.848333333333333;1;0.4835314;0.480659;1
2018/09/10 01:17:53;2.97681382421224;-5.84644836589849;0.822666666666667;1;0.7262949;0.6760889;0
2018/09/10 01:18:02;3.0412261976681;-6.13883582037635;0.841666666666667;1;0.2443986;0.3115432;1
2018/09/10 01:18:17;3.08172394668869;-6.16427470734148;0.846666666666667;1;0.4974578;0.4982833;0
2018/09/10 01:18:29;3.10478888727331;-6.41407415056679;0.850333333333333;1;0.6712651;0.5953628;0
2018/09/10 01:18:45;3.15601751671276;-6.67646646087314;0.853333333333333;1;0.1646084;0.2294158;1
2018/09/10 01:18:56;3.19914621069578;-6.74179545399452;0.85047619047619;1;0.2483399;0.3102527;1
2018/09/10 01:19:06;3.24127127655805;-6.77531661504335;0.848333333333333;1;0.2290926;0.2992966;1
