Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/11 02:51:29;0;0;0;0;0;0;1
2018/09/11 02:51:40;0;0;0;0;0.5;0.08407189;1
2018/09/11 02:51:49;19.2028947644902;7.105427357601E-15;0;0;0.5;0.1484814;1
2018/09/11 02:52:04;20.2028947690641;8.88178419700125E-15;0;0;0.5;0.2249224;1
2018/09/11 02:52:13;20.2028947690641;-2.04281036531029E-14;0;0;0.5;0.321082;1
2018/09/11 02:52:20;20.2028947690641;-6.21724893790088E-15;0;0;0.5;0.4139182;1
2018/09/11 02:52:28;21.2028947707468;-3.21964677141295E-15;0;0;0.5;0.5124698;0
2018/09/11 02:52:34;182.859771091565;-395.227390626891;0;0;0.5;0.4144223;1
2018/09/11 02:52:40;187.039178269347;-403.469610448232;0;0;0.5;0.4812174;1
2018/09/11 02:52:47;623.067970126176;-1254.34105849603;0;0;0.5;0.5368162;0
2018/09/11 02:52:52;622.253451173886;-1252.43946619427;0;0;0.5;0.4770117;0
2018/09/11 02:53:00;25.3619813691916;-53.4724853970067;0;0;0.5;0.3886282;1
2018/09/11 02:53:07;25.9751024119252;-54.750869700607;0;0;0.5;0.4621739;1
2018/09/11 02:53:16;40.4949191723576;-84.1354991333156;0;0;0.5;0.5180476;1
2018/09/11 02:53:23;14.9527197245094;-29.9544092324751;0;0;0.5;0.6149745;0
2018/09/11 02:53:31;15.6024986216642;-31.2422681475365;0.835;1;0.2109748;0.4571832;1
2018/09/11 02:53:35;16.7460448817274;-33.3133518279962;0.84;1;0.1569782;0.4522259;1
2018/09/11 02:53:41;17.8021157003108;-35.2834710272794;0.805;1;0.2405863;0.4719674;1
2018/09/11 02:53:48;24.4250019756045;-48.4392576095437;0.83;1;0.2394334;0.4803792;1
2018/09/11 02:53:54;25.487400856728;-50.2830093457647;0.85;1;0.239337;0.4838828;1
2018/09/11 02:54:02;26.3783464108822;-51.7904495721235;0.845;1;0.1849917;0.4806959;1
2018/09/11 02:54:08;27.4039096622008;-53.64414867395;0.853333333333333;1;0.1531496;0.4789675;1
2018/09/11 02:54:17;28.4348921898962;-55.5508139160217;0.88;1;0.1996767;0.4868799;1
2018/09/11 02:54:25;32.9005776056625;-64.3152179222086;0;0;0.5;0.5778519;1
2018/09/11 02:54:31;13.8796925139946;-25.2564060631308;0.82;1;0.184767;0.490779;1
2018/09/11 02:54:40;14.1762608541982;-25.6979729912675;0.843333333333333;1;0.1745915;0.4911995;1
2018/09/11 02:54:49;14.4636518658058;-26.1314369262511;0.84;1;0.2008811;0.5006558;1
2018/09/11 02:55:05;14.6349834411487;-26.3182768689102;0.826666666666667;1;0.2038048;0.5042998;1
2018/09/11 02:55:15;14.7610476768244;-26.4169742648418;0.848333333333333;1;0.1923051;0.5044463;1
2018/09/11 02:55:25;14.8961099354353;-26.5445680392696;0.853333333333334;1;0.2455873;0.5188942;1
2018/09/11 02:55:32;14.7770529755327;-26.1413017569407;0.856666666666667;1;0.2137503;0.515452;0
2018/09/11 02:55:39;14.9960457605538;-27.0670315254136;0.829166666666667;1;0.166185;0.4944442;1
2018/09/11 02:55:46;15.253041417812;-27.4758578771593;0.840833333333333;1;0.1681837;0.4969631;1
2018/09/11 02:55:56;15.4779445372369;-27.8213171445188;0.835833333333333;1;0.2130563;0.50937;0
2018/09/11 02:56:01;15.4769755368267;-28.2377675586277;0.825;1;0.1554786;0.4881659;0
2018/09/11 02:56:09;14.1326857099015;-25.9603928679096;0.8;1;0.1642833;0.4817334;0
2018/09/11 02:56:14;12.7116177045993;-23.4641378693748;0.771666666666667;1;0.2338783;0.4911784;1
2018/09/11 02:56:20;12.9128155067114;-23.7770172793814;0.788333333333333;1;0.2322459;0.4927928;1
2018/09/11 02:56:25;13.0892628805624;-24.0419650837347;0.780833333333333;1;0.2186429;0.4914603;0
2018/09/11 02:56:31;12.4950508051461;-23.1308885567627;0.7625;1;0.241575;0.4907285;1
2018/09/11 02:56:36;12.6789171361049;-23.4175249644882;0.775;1;0.2350635;0.4910416;1
2018/09/11 02:56:42;12.8568361139453;-23.6952074591771;0.778;1;0.2013599;0.4844448;1
2018/09/11 02:56:46;13.115422714985;-24.1464525474346;0.7855;1;0.2047711;0.4869736;1
2018/09/11 02:56:51;13.3406189975579;-24.530162468303;0.79;1;0.2114556;0.4901902;1
2018/09/11 02:56:55;13.5219704664533;-24.8243195822882;0.788;1;0.1797791;0.4835631;1
2018/09/11 02:57:03;13.7758119100595;-25.27455817142;0.7955;1;0.4657143;0.5396119;1
2018/09/11 02:57:12;9.76898711186968;-17.1885953896035;0.804;1;0.7475057;0.631485;0
