Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/17 10:53:32;0;0;0;0;0;0;1
2018/09/17 10:53:41;0;0;0;0;0.5;0.08279693;1
2018/09/17 10:53:46;19.2028947644902;0;0;0;0.5;0.1457198;1
2018/09/17 10:53:55;20.2028947690641;-6.21724893790088E-15;0;0;0.5;0.2159183;1
2018/09/17 10:54:02;20.2028947690641;3.5527136788005E-15;0;0;0.5;0.2750489;0
2018/09/17 10:54:08;166.501316171301;-679.047731257342;0;0;0.5;0.196821;1
2018/09/17 10:54:16;165.99008211355;-677.266894478654;0;0;0.5;0.2756988;1
2018/09/17 10:54:27;15.622814503546;-56.6512876087769;0;0;0.5;0.3502343;1
2018/09/17 10:54:40;3.50733123852635;-7.67762174466466;0;0;0.5;0.4451208;1
2018/09/17 10:54:44;2.69170169411331;-3.0024883302279;0;0;0.5;0.5209722;0
2018/09/17 10:54:53;4.37550073525166;-9.77366917617327;0;0;0.5;0.4488145;0
2018/09/17 10:54:57;4.12332401334552;-10.2601933236618;0;0;0.5;0.3874225;0
2018/09/17 10:55:06;4.17957233880173;-11.259396881199;0.66;1;0.1632795;0.2260819;1
2018/09/17 10:55:13;4.42554880952057;-11.7846544579998;0.79;1;0.2123939;0.2643262;1
2018/09/17 10:55:23;4.65844162779898;-12.2062476014711;0.79;1;0.2031673;0.2696837;1
2018/09/17 10:55:34;4.86560410824682;-12.5759515022815;0.8;1;0.1879414;0.2705292;1
2018/09/17 10:55:42;6.10189645906189;-15.6727357234395;0.775;1;0.1809697;0.2929996;1
2018/09/17 10:55:50;6.36904683063787;-16.182520882499;0.815;1;0.2012419;0.3083881;1
2018/09/17 10:56:04;6.61091548767018;-16.5960127705299;0.845;1;0.2062364;0.3171336;1
2018/09/17 10:56:16;6.83007791240084;-16.9447345616967;0.82;1;0.1947095;0.3192959;1
2018/09/17 10:56:26;7.43180670859271;-18.2975022706687;0.85;1;0.1677761;0.3186411;1
2018/09/17 10:56:32;7.70116325125756;-18.8188100954781;0.86;1;0.2439113;0.3491086;1
2018/09/17 10:56:41;7.86999731096218;-18.9660368400777;0.873333333333334;1;0.1811247;0.3354022;1
2018/09/17 10:56:50;8.08437603244152;-19.3283470719513;0.858333333333333;1;0.1960219;0.3452458;1
2018/09/17 10:56:56;8.27070106023183;-19.5981591197707;0.851666666666667;1;0.240993;0.3634759;1
2018/09/17 10:57:05;8.38034697181244;-19.6094569430717;0.846666666666667;1;0.16881;0.3460709;1
2018/09/17 10:57:13;8.56602859814102;-19.9185669909356;0.851666666666667;1;0.1711349;0.3508497;1
2018/09/17 10:57:18;8.73616985942587;-20.1852575126961;0.845;1;0.1591496;0.3503349;1
2018/09/17 10:57:25;8.905675840882;-20.4659874135995;0.846666666666666;1;0.1557966;0.3525769;1
2018/09/17 10:57:30;9.06664211997065;-20.7292258480995;0.866666666666667;1;0.1754721;0.3627396;1
2018/09/17 10:57:35;9.19126051676324;-20.8755003826479;0.86;1;0.1506742;0.3574495;1
2018/09/17 10:57:41;9.33589695714534;-21.1040321546306;0.875;1;0.2462701;0.3893707;1
2018/09/17 10:57:48;9.29030086045361;-20.7311273437477;0.871666666666667;1;0.1966021;0.3802317;1
2018/09/17 10:57:55;9.33941151965603;-20.6659899042132;0.875;1;0.1691117;0.3748901;1
2018/09/17 10:58:02;9.42622436553267;-20.7304852004571;0.896666666666667;1;0.1694086;0.3780133;1
2018/09/17 10:58:08;9.50031417059784;-20.7635872814012;0.878333333333334;1;0.1629209;0.3787236;1
2018/09/17 10:58:17;9.57438015691699;-20.804929807723;0.895;1;0.2499257;0.4073732;1
2018/09/17 10:58:23;9.4196934095124;-20.1760233128143;0.9;1;0.211518;0.4016596;0
2018/09/17 10:58:30;9.75664484425406;-21.7025732683237;0.8725;1;0.2101435;0.3885523;1
2018/09/17 10:58:41;9.76575045984263;-21.5675802128664;0.87;1;0.1740946;0.3806115;1
2018/09/17 10:58:47;9.83743297967998;-21.6247021936148;0.8775;1;0.18158;0.3852887;1
2018/09/17 10:58:51;9.88219430082949;-21.6078882158375;0.8825;1;0.2209005;0.3990102;1
2018/09/17 10:59:00;9.81796956485626;-21.2829713137287;0.883;1;0.1930195;0.3940926;1
2018/09/17 10:59:07;9.81137981990103;-21.129656555701;0.901;1;0.1755356;0.3911321;1
2018/09/17 10:59:15;9.83367077149099;-21.0648256493783;0.8995;1;0.2216646;0.4072039;1
2018/09/17 10:59:21;9.71987067977673;-20.6213886088587;0.895;1;0.4730262;0.4661117;1
2018/09/17 10:59:29;8.62163373870136;-17.5271340631519;0.8795;1;0.7460569;0.5533891;1
2018/09/17 10:59:37;6.38433932330384;-11.4562205722976;0.8765;1;0.2063536;0.4396993;1
2018/09/17 10:59:45;6.26956053015763;-11.0420628871401;0.877;1;0.4796775;0.560423;0
2018/09/17 10:59:58;7.36552522191574;-14.0192983730752;0.862;1;0.7074589;0.5883746;0
2018/09/17 11:00:07;7.99886058568428;-15.6886505259803;0.878;1;0.2489369;0.4394623;1
2018/09/17 11:00:15;7.9783527013351;-15.5122142006075;0.882666666666667;1;0.5447732;0.5259034;0
2018/09/17 11:00:21;8.54111154119035;-17.0587121212703;0.888333333333333;1;0.6815866;0.545304;0
2018/09/17 11:00:27;9.0058149581085;-18.2922750781379;0.903;1;0.2483171;0.4317783;1
2018/09/17 11:00:36;9.0436071774764;-18.2662884970853;0.900666666666667;1;0.520743;0.4996432;0
2018/09/17 11:00:42;9.4384482122989;-19.3917742365695;0.905;1;0.7099355;0.5328816;0
2018/09/17 11:00:50;9.81623413476579;-20.3867592334816;0.909;1;0.2481422;0.4271247;1
2018/09/17 11:00:55;9.88612420322315;-20.443757383794;0.908666666666667;1;0.5182217;0.4871435;1
2018/09/17 11:01:01;9.59410771115486;-19.5692497665309;0.896333333333333;1;0.685615;0.5301075;0
2018/09/17 11:01:12;9.9391841082809;-20.4712889359016;0.901666666666667;1;0.1566413;0.4032843;1
2018/09/17 11:01:18;10.0535484938643;-20.6703691316414;0.901666666666667;1;0;0;1
2018/09/17 11:01:24;10.0536360818469;-20.6705897135285;0.900238095238095;1;0.0112758;0.2699429;0
