Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/03 05:32:04;0;0;0;0;0;0;1
2018/09/03 05:32:12;0;0;0;0;0.5;0.0808012;1
2018/09/03 05:32:19;19.2028947644902;1.24344978758018E-14;0;0;0.5;0.1735214;1
2018/09/03 05:32:25;20.2028947690641;1.24344978758018E-14;0;0;0.5;0.2385575;1
2018/09/03 05:32:32;20.2028947690641;-2.44249065417534E-15;0;0;0.5;0.2973682;1
2018/09/03 05:32:37;20.2028947690641;3.5527136788005E-15;0;0;0.5;0.3623655;1
2018/09/03 05:32:44;21.2028947707468;2.66453525910038E-15;0;0;0.5;0.4303372;1
2018/09/03 05:32:47;21.2028947707468;-3.33066907387547E-15;0;0;0.5;0.4826679;1
2018/09/03 05:32:50;21.2028947707468;1.77635683940025E-15;0;0;0.5;0.5817176;0
2018/09/03 05:33:00;215.934120537025;-406.21523757764;0;0;0.5;0.4990391;1
2018/09/03 05:33:08;258.832374290202;-479.479892662617;0;0;0.5;0.5796617;0
2018/09/03 05:33:17;266.197485363528;-494.230418424854;0;0;0.5;0.513299;0
2018/09/03 05:33:23;1375.00181291744;-2716.69896314178;0;0;0.5;0.4161354;1
2018/09/03 05:33:28;1373.44398703865;-2713.63310836104;0;0;0.5;0.476593;1
2018/09/03 05:33:40;1371.28391929592;-2709.43226187205;0;0;0.5;0.5707036;1
2018/09/03 05:33:53;14.6307448467793;-26.9925965729642;0;0;0.5;0.663545;0
2018/09/03 05:33:57;15.2229500146432;-28.1040376318573;0.87;1;0.1728327;0.4859539;1
2018/09/03 05:34:07;16.2160955441106;-29.7610885740103;0.875;1;0.2157423;0.5015086;1
2018/09/03 05:34:18;17.0646801023614;-31.101337585503;0.89;1;0.1935229;0.5027887;1
2018/09/03 05:34:22;17.8497642551197;-32.3563077320589;0.89;1;0.2337646;0.5149719;0
2018/09/03 05:34:28;16.6725034054325;-30.8683206638484;0.855;1;0.1610315;0.4866455;1
2018/09/03 05:34:41;17.4340935137219;-32.181076534654;0.863333333333333;1;0.1786317;0.4943417;0
2018/09/03 05:34:46;15.3478193271161;-28.7990004345061;0.82;1;0.2484675;0.4944969;1
2018/09/03 05:34:53;15.9111497114436;-29.713254676621;0.838333333333333;1;0.23825;0.4963728;1
2018/09/03 05:35:03;16.4233627679277;-30.53959950779;0.831666666666667;1;0.2420656;0.5003987;1
2018/09/03 05:35:10;16.8553964658754;-31.2112200257453;0.845;1;0.2245308;0.500331;1
