Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/03 12:43:09;0;0;0;0;0;0;0
2018/09/03 12:43:35;0;0;0;0;0.5;0;1
2018/09/03 12:43:59;0;0;0;0;0.5;0.05894373;1
2018/09/03 12:44:10;-2.22044604925031E-16;444.540861182017;0;0;0.5;0.1377552;1
2018/09/03 12:44:20;-2.32682087773082E-16;417.858570716748;0;0;0.5;0.2100907;1
2018/09/03 12:44:27;-1.11022302462516E-16;402.338596954642;0;0;0.5;0.3044674;0
2018/09/03 12:44:40;1.20365831409693;-4.04086328237217;0;0;0.5;0.2269835;1
2018/09/03 12:44:51;1.20967500902446;-2.10343296868277;0;0;0.5;0.2896886;1
2018/09/03 12:44:58;1.07726748102203;0.124551383716031;0;0;0.5;0.3878576;1
2018/09/03 12:45:07;0.904139414874791;2.05357479861052;0;0;0.5;0.4421394;1
2018/09/03 12:45:23;0.794887888756821;3.1893681258882;0;0;0.5;0.5074217;1
2018/09/03 12:45:35;0.720348479090475;3.9129504581905;0;0;0.5;0.5601063;0
2018/09/03 12:45:43;1.40053249667142;-1.11950002353556;0;0;0.5;0.478368;0
2018/09/03 12:46:00;1.57457327542416;-2.59612755499647;0.625;1;0.1736309;0.005571296;1
2018/09/03 12:46:18;1.80379840695592;-3.14771741733965;0.63;1;0.1741935;0.07866163;1
2018/09/03 12:46:31;1.98906352125881;-3.55709244526722;0.69;1;0.19086;0.1531115;1
2018/09/03 12:46:36;2.14778483053732;-3.86040749357299;0.67;1;0.2313177;0.2452848;0
2018/09/03 12:46:46;1.79311829768884;-3.49742566805008;0.58;0;0.5;0.1882458;1
2018/09/03 12:46:57;1.92773411706293;-3.72068273609764;0.645;1;0.1715673;0.09492181;1
2018/09/03 12:47:13;2.06465089477983;-4.03173448720645;0.645;1;0.2233583;0.2030017;1
2018/09/03 12:47:27;2.17771623071405;-4.20532392689761;0.7;1;0.1593948;0.1224586;1
2018/09/03 12:47:41;2.29375374187748;-4.45816871024573;0.7;1;0.2295001;0.2428391;1
2018/09/03 12:47:50;2.38376871401922;-4.54835457346768;0.73;1;0.1540538;0.1496397;0
2018/09/03 12:48:04;1.9045139570407;-3.57443547325588;0.68;1;0.1921965;0.1311294;1
2018/09/03 12:48:15;2.0057017812308;-3.7921308041857;0.713333333333333;1;0.1832159;0.1347506;1
2018/09/03 12:48:28;2.10005806343207;-3.99339333215522;0.7;1;0.1945271;0.170081;1
2018/09/03 12:48:35;2.18439673627654;-4.1468005159476;0.731666666666667;1;0.244975;0.2553299;1
2018/09/03 12:48:45;2.242106291838;-4.15379625156696;0.75;1;0.1574295;0.1359302;1
2018/09/03 12:48:52;2.32399687689438;-4.33324550029205;0.745;1;0.1867919;0.1968513;1
2018/09/03 12:49:00;2.3939923998398;-4.44182965139635;0.74;1;0.2106719;0.2415924;1
2018/09/03 12:49:07;2.45023674735582;-4.47817893904626;0.766666666666667;1;0.1611843;0.1788214;1
2018/09/03 12:49:13;2.51872010224113;-4.60513676338612;0.769166666666667;1;0.1821429;0.2208022;1
2018/09/03 12:49:21;2.57704576486613;-4.67619356136493;0.785;1;0.2400529;0.3046615;1
2018/09/03 12:49:33;2.6022001594752;-4.57514057320631;0.801666666666667;1;0.2227176;0.2955758;1
2018/09/03 12:49:39;2.63111720408231;-4.50543249191487;0.794166666666667;1;0.2336823;0.3203872;1
2018/09/03 12:49:46;2.64595599181575;-4.37760374560192;0.815;1;0.236404;0.3365904;1
2018/09/03 12:49:53;2.6505564200735;-4.21341136063671;0.829166666666667;1;0.227045;0.3383206;1
2018/09/03 12:50:00;2.65850558052738;-4.06615826124002;0.840833333333333;1;0.1693499;0.2627207;1
2018/09/03 12:50:06;2.69837183044562;-4.08510150627205;0.833333333333333;1;0.214871;0.3433357;1
2018/09/03 12:50:12;2.69809813246026;-3.92618347266399;0.843333333333333;1;0.1742961;0.2910249;1
2018/09/03 12:50:20;2.7251285473409;-3.89694127489728;0.8475;1;0.2098132;0.3590193;1
2018/09/03 12:50:26;2.71416911352128;-3.70727451984149;0.848;1;0.2025454;0.3624518;1
2018/09/03 12:50:31;2.70139212034216;-3.51844988739769;0.855;1;0.17934;0.3355361;1
2018/09/03 12:50:36;2.70491509609206;-3.40531971918307;0.8615;1;0.244137;0.4624484;1
2018/09/03 12:50:43;2.61763359283927;-2.9311835497037;0.864;1;0.1509946;0.3039086;1
2018/09/03 12:50:46;2.63658779810102;-2.89466152584881;0.8675;1;0.5486723;0.9783167;0
2018/09/03 12:50:51;3.06502639802277;-4.50616887939934;0.857;1;0.7327196;0.903981;0
2018/09/03 12:51:00;3.26589151771285;-5.24288839717276;0.864;1;0.2013392;0.3600966;1
2018/09/03 12:51:10;3.29504044458689;-5.22053051098292;0.872;1;0.4775302;0.6139416;0
2018/09/03 12:51:15;3.46027906707626;-5.95542873412902;0.8645;1;0.7330236;0.7506255;0
2018/09/03 12:51:21;3.61257541302301;-6.50667238338593;0.88;1;0.2192108;0.359985;1
2018/09/03 12:51:26;3.64907055482393;-6.50520972094906;0.874333333333333;1;0.4742031;0.5450695;0
2018/09/03 12:51:29;3.76030936888248;-7.04479827745108;0.866;1;0.6559695;0.6253825;0
2018/09/03 12:51:35;3.89533831918862;-7.55583055217711;0.880333333333333;1;0.2347261;0.3591298;1
2018/09/03 12:51:48;3.937665115741;-7.57148668022783;0.893;1;0.5044384;0.5224099;1
2018/09/03 12:51:54;3.85665791656208;-7.15628648582887;0.877333333333333;1;0.7053241;0.660879;0
2018/09/03 12:52:02;3.97792993828811;-7.58065836764518;0.884333333333333;1;0.1554237;0.301458;1
2018/09/03 12:52:10;4.02909266490484;-7.65379456538647;0.876666666666667;1;0.5466052;0.5508452;0
2018/09/03 12:52:15;4.12117148485414;-8.05472529367113;0.874;1;0.6597853;0.5938761;0
2018/09/03 12:52:23;4.22421557964154;-8.43595723561646;0.880666666666666;1;0.2396518;0.3638741;1
2018/09/03 12:52:38;4.27418553680305;-8.47870533705168;0.885;1;0.01350832;0;1
2018/09/03 12:52:51;4.28834419032163;-8.50979080263792;0.884285714285714;1;0;0;1
2018/09/03 12:53:02;4.30214318032697;-8.54008603577644;0.887142857142857;1;0.04417182;0.1437517;1
2018/09/03 12:53:10;4.33311272272956;-8.60323825029212;0.887142857142857;1;4.868954E-06;0;1
2018/09/03 12:53:16;4.3460424792443;-8.63165605866298;0.890476190476191;1;0.0447328;0.1488426;1
2018/09/03 12:53:23;4.37645033444198;-8.69337739777501;0.894761904761905;1;0.02777267;0.09442969;1
2018/09/03 12:53:36;4.39843741921035;-8.73973300271204;0.897857142857143;1;0.002674323;0;1
2018/09/03 12:53:43;4.41017619562717;-8.76557731352226;0.897142857142857;1;0;0;1
2018/09/03 12:53:51;4.42163125689197;-8.79079673622596;0.897380952380952;1;0.02815698;0.1001311;1
2018/09/03 12:54:00;4.44304892098167;-8.835757987579;0.896666666666667;1;0;0;1
2018/09/03 12:54:06;4.45387110730404;-8.85959901533926;0.9;1;0;0;1
2018/09/03 12:54:12;4.46940549267817;-8.89370516896813;0.90125;1;0.02268799;0.07943095;1
2018/09/03 12:54:18;4.48772524483023;-8.93262403731301;0.902857142857143;1;0.02236735;0.07950557;1
2018/09/03 12:54:23;4.50568309719853;-8.97077402806597;0.904107142857143;1;0;0;1
2018/09/03 12:54:34;4.51628039382214;-8.99412135991417;0.904285714285714;1;0;0;1
2018/09/03 12:54:40;4.5267140431995;-9.01710699526829;0.909464285714286;1;0.02112125;0.07658619;1
2018/09/03 12:54:49;4.54354606422199;-9.05290401808703;0.906964285714286;1;0;0;1
2018/09/03 12:54:57;4.55360149683912;-9.07506192565376;0.908035714285714;1;0.04243333;0.1583615;1
2018/09/03 12:55:04;4.5798091183298;-9.12747054465166;0.910178571428572;1;0.04801873;0.1745122;1
2018/09/03 12:55:17;4.60775752194454;-9.18243740927857;0.915357142857143;1;0.01328603;0.0326809;1
2018/09/03 12:55:23;4.61942324865614;-9.20784820251403;0.91125;1;0.03525207;0.1422787;1
2018/09/03 12:55:30;4.64216132520369;-9.25403874973051;0.914722222222222;1;0;0;1
2018/09/03 12:55:36;4.65112953934785;-9.27385781311585;0.91625;1;0.006757192;0;1
2018/09/03 12:55:43;4.65998035777567;-9.29341627902858;0.913611111111111;1;0.0224334;0.09527873;1
2018/09/03 12:55:51;4.67645971011825;-9.32810373313497;0.918472222222222;1;0.00636993;0;1
2018/09/03 12:55:57;4.68502030212361;-9.34702666019033;0.919583333333333;1;0;0;1
2018/09/03 12:56:05;4.69347384143645;-9.36571185408922;0.919166666666666;1;0;0;1
2018/09/03 12:56:14;4.70182295397124;-9.38416516359686;0.92125;1;0.01974472;0.08491921;1
2018/09/03 12:56:22;4.71651958785259;-9.41528174472487;0.918472222222222;1;0;0;1
2018/09/03 12:56:26;4.7246161339927;-9.43318098230164;0.920416666666667;1;0;0;1
2018/09/03 12:56:32;4.73261663717324;-9.45086689680186;0.923333333333333;1;0.00609123;0;1
2018/09/03 12:56:36;4.74052326965847;-9.46834433060467;0.925555555555555;1;0.01420014;0.05284151;1
2018/09/03 12:56:42;4.75184894196403;-9.49276281278538;0.923;1;0.009789474;0.01424655;1
2018/09/03 12:56:48;4.76037577355799;-9.51149759988005;0.926222222222222;1;0.0296342;0.1336942;1
2018/09/03 12:56:56;4.77909226742263;-9.54962144756934;0.926555555555556;1;0;0;1
2018/09/03 12:57:04;4.78653710124954;-9.56608920793907;0.925777777777778;1;0.03526855;0.1544705;1
2018/09/03 12:57:11;4.80723876293821;-9.60739440426116;0.926888888888889;1;0.007886;0;1
2018/09/03 12:57:17;4.81443922228918;-9.62333356181293;0.927555555555556;1;0.02604517;0.1239598;1
2018/09/03 12:57:23;4.83120959142411;-9.65778472767211;0.928111111111111;1;0.03524101;0.1575456;1
2018/09/03 12:57:33;4.85152491453936;-9.69817894039074;0.930444444444444;1;0.02886917;0.1377411;1
2018/09/03 12:57:39;4.8692578805235;-9.73417976162002;0.93;1;0.03007537;0.1433861;1
2018/09/03 12:58:12;4.88735902642674;-9.77073420570784;0.930636363636363;1;0.006840248;0;1
