Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/05 03:13:44;0;0;0;0;0;0;1
2018/09/05 03:14:00;0;0;0;0;0.5;0.06627215;1
2018/09/05 03:14:09;19.2028947644902;1.06581410364015E-14;0;0;0.5;0.1512057;1
2018/09/05 03:14:20;20.2028947690641;-1.38777878078145E-14;0;0;0.5;0.2416566;1
2018/09/05 03:14:27;20.2028947690641;-4.44089209850063E-16;0;0;0.5;0.3361532;1
2018/09/05 03:14:34;20.2028947690641;-5.32907051820075E-15;0;0;0.5;0.4336796;1
2018/09/05 03:14:44;21.2028947707468;-7.32747196252603E-15;0;0;0.5;0.4989557;1
2018/09/05 03:14:52;21.2028947707468;-1.33226762955019E-15;0;0;0.5;0.5861412;0
2018/09/05 03:15:02;248.176725694973;-457.830053476285;0;0;0.5;0.5156824;1
2018/09/05 03:15:10;306.582302901103;-556.954585327541;0;0;0.5;0.578358;0
2018/09/05 03:15:16;339.339573536503;-620.634549701394;0;0;0.5;0.4852677;1
2018/09/05 03:15:23;338.996768858952;-620.081786920849;0;0;0.5;0.545392;0
2018/09/05 03:15:26;692.526922835823;-1305.44357172334;0;0;0.5;0.4741785;0
2018/09/05 03:15:34;18.3310293387529;-35.6869132543996;0.835;1;0.2139645;0.4772012;1
2018/09/05 03:15:40;21.5493982080676;-41.693814950606;0.86;1;0.2229014;0.4868962;1
2018/09/05 03:15:45;23.2849961362285;-44.7863368867454;0.87;1;0.1874883;0.4871705;1
2018/09/05 03:15:51;24.8550776704143;-47.6156256377964;0.87;1;0.1760918;0.4895877;1
2018/09/05 03:15:57;26.1389206636849;-49.901928546392;0.86;1;0.1686762;0.4918424;1
2018/09/05 03:16:04;27.2554118732923;-51.873611878612;0.945;1;0.1510966;0.4921459;1
2018/09/05 03:16:09;28.2635259528702;-53.6590204998728;0.945;1;0.170008;0.4971756;1
2018/09/05 03:16:15;29.0863376603131;-55.0578858966794;0.95;1;0.2220357;0.5055133;0
2018/09/05 03:16:22;28.9962710814919;-55.7483631235134;0.853333333333333;1;0.2475076;0.5001819;0
2018/09/05 03:16:29;28.5240484623592;-55.4647813491928;0.826666666666667;1;0.2427758;0.4937643;1
2018/09/05 03:16:35;29.3391384649016;-56.9073359406254;0.828333333333333;1;0.1811678;0.4890527;1
2018/09/05 03:16:41;30.4260080216679;-58.9452457159027;0.843333333333333;1;0.1632646;0.4884511;1
2018/09/05 03:16:48;31.4797829788806;-60.9332715939264;0.841666666666667;1;0.1727463;0.4909222;0
2018/09/05 03:16:55;27.8333092435298;-54.1702995919756;0.81;1;0.1980309;0.4879918;1
2018/09/05 03:16:59;28.7720492419777;-55.9376784816467;0.811666666666667;1;0.223891;0.4921355;1
2018/09/05 03:17:05;29.6577787464996;-57.5879514998234;0.82;1;0.175326;0.4881132;1
2018/09/05 03:17:09;30.5353186106433;-59.2496933039676;0.823333333333333;1;0.2467816;0.4965337;1
2018/09/05 03:17:15;30.6594132421977;-59.3545376840379;0.836666666666667;1;0.202811;0.4934854;1
2018/09/05 03:17:21;31.1199804674685;-60.1635563261389;0.838333333333333;1;0.2420539;0.4982839;0
2018/09/05 03:17:26;31.6476981541518;-61.631179550618;0.808333333333333;1;0.1677202;0.4875102;1
2018/09/05 03:17:32;32.5957146156769;-63.4587825436771;0;0;0.5;0.5744456;0
2018/09/05 03:17:44;33.5483670044731;-65.3889740209999;0;0;0.5;0.5007783;1
2018/09/05 03:17:54;32.8673752824262;-63.8663462124515;0;0;0.5;0.5543361;0
2018/09/05 03:17:59;34.5783859574665;-67.3375401924114;0;0;0.5;0.4650499;0
2018/09/05 03:18:04;24.2256133562911;-46.9582082497413;0.814166666666667;1;0.1852613;0.4843565;1
2018/09/05 03:18:10;24.832811832278;-48.1060861667501;0.813333333333333;1;0.1953517;0.4867827;1
2018/09/05 03:18:18;25.3670664440345;-49.1047084736354;0.825;1;0.2413292;0.4932655;0
2018/09/05 03:18:28;24.5103302285252;-47.6562492977503;0.8025;1;0.1601994;0.4795507;1
2018/09/05 03:18:34;25.1725626121602;-48.9343604744266;0.804;1;0.1995387;0.4860262;1
2018/09/05 03:18:40;25.6998365290255;-49.9281453021428;0.816;1;0.1587921;0.4813436;0
2018/09/05 03:18:47;22.8772506763969;-44.5104968914611;0.796;1;0.1553769;0.4759375;1
2018/09/05 03:18:55;23.509800826727;-45.7391833133281;0.796;1;0.2155904;0.4857596;1
2018/09/05 03:18:59;23.9641101205619;-46.5905423776409;0.8035;1;0.4550424;0.5104854;0
2018/09/05 03:19:03;25.7019475432532;-50.2589286347078;0.781;1;0.7040782;0.5286372;0
2018/09/05 03:19:09;28.028943346094;-55.0385892975982;0.7975;1;0.2323823;0.4875495;0
2018/09/05 03:19:16;26.4629689076353;-52.085799636277;0.769;1;0.4895228;0.5072602;0
2018/09/05 03:19:23;28.0276486041343;-55.3792756621777;0.782;1;0.6873096;0.5203249;0
2018/09/05 03:19:30;30.1846556507902;-59.8147880357932;0.802;1;0.152819;0.4760026;1
2018/09/05 03:19:41;31.0548026152459;-61.5355240020142;0.809666666666667;1;0.4857076;0.5037353;1
2018/09/05 03:19:50;29.8952783123012;-59.0737573310484;0.784333333333333;1;0.6687597;0.5179603;0
2018/09/05 03:20:01;31.9099087808784;-63.2180060537486;0;0;0.5;0.4664028;1
