Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 01:45:36;0;0;0;0;0;0;1
2018/09/12 01:45:44;0;0;0;0;0.5;0.09363914;1
2018/09/12 01:45:55;19.2028947644902;0;0;0;0.5;0.1449053;1
2018/09/12 01:46:01;20.2028947690641;1.33226762955019E-14;0;0;0.5;0.2374614;1
2018/09/12 01:46:10;20.2028947690641;1.08801856413265E-14;0;0;0.5;0.3200163;1
2018/09/12 01:46:17;20.2028947690641;-8.88178419700125E-16;0;0;0.5;0.3788237;1
2018/09/12 01:46:26;21.2028947707468;-1.33226762955019E-15;0;0;0.5;0.4777092;1
2018/09/12 01:46:36;21.2028947707468;1.02140518265514E-14;0;0;0.5;0.5432738;0
2018/09/12 01:46:42;306.095920271027;-599.925495596255;0;0;0.5;0.4484553;0
2018/09/12 01:46:51;10.6026034056941;-22.9358921433658;0;0;0.5;0.3555396;1
2018/09/12 01:47:00;8.45301680931485;-18.1272377260338;0;0;0.5;0.4256552;1
2018/09/12 01:47:07;12.7746121626337;-26.9436272186158;0;0;0.5;0.5070314;0
2018/09/12 01:47:15;14.5809063763038;-31.501573369393;0;0;0.5;0.4372376;1
2018/09/12 01:47:35;15.8122758858086;-33.6257862522703;0;0;0.5;0.5041792;0
2018/09/12 01:47:44;17.386871091746;-37.4466622655506;0.865;1;0.1848508;0.4246854;1
2018/09/12 01:47:52;18.890914781907;-40.4116601242049;0.85;1;0.151317;0.4247934;1
2018/09/12 01:48:04;20.1835957472237;-42.9837678891562;0.84;1;0.1535179;0.4298442;1
2018/09/12 01:48:13;21.324922374575;-45.2328645412094;0.885;1;0.229225;0.4446375;1
2018/09/12 01:48:25;22.2318030415445;-46.8758975364264;0.88;1;0.2231001;0.4476525;1
2018/09/12 01:48:31;23.0391413260333;-48.3245332417723;0.9;1;0.2067485;0.4489335;0
2018/09/12 01:48:37;21.3335963623132;-45.4843015537831;0.85;1;0.2389782;0.4435664;1
2018/09/12 01:48:47;22.0356478106958;-46.7761326897722;0.856666666666667;1;0.1841296;0.4392632;1
2018/09/12 01:49:01;22.793142562181;-48.2501138559513;0.88;1;0.2144945;0.4454932;1
2018/09/12 01:49:16;23.3813106351846;-49.3284840028481;0.881666666666667;1;0.1838314;0.4437742;1
2018/09/12 01:49:25;23.9877336264274;-50.4800115415838;0.88;1;0.1907338;0.4465626;1
2018/09/12 01:49:36;24.5087254842905;-51.4419586106678;0.898333333333333;1;0.2059882;0.4502054;1
2018/09/12 01:49:44;24.9191946089168;-52.1528445297298;0.886666666666667;1;0.1600505;0.4460225;1
2018/09/12 01:49:50;25.4249501485124;-53.1147588070211;0.885;1;0.2009697;0.4526935;1
2018/09/12 01:49:56;25.7490615011143;-53.6485318270403;0.9;1;0.2273271;0.4571531;1
2018/09/12 01:50:02;25.9198644865264;-53.8316228341719;0.895;1;0.2325505;0.4593192;1
2018/09/12 01:50:06;32.504836083734;-67.9047829860755;0;0;0.5;0.550293;0
2018/09/12 01:50:11;32.5552071311821;-68.0050102642107;0;0;0.5;0.4625342;0
2018/09/12 01:50:18;26.5063594017738;-55.4267046721711;0.8725;1;0.1600692;0.4483154;1
2018/09/12 01:50:31;26.923455003379;-56.2229523143895;0.8725;1;0.2036586;0.4546163;0
2018/09/12 01:50:35;26.2406492488565;-55.2268508499309;0.853333333333333;1;0.2132558;0.4515057;0
2018/09/12 01:50:40;25.4278234006669;-53.8729932353463;0.8275;1;0.1851328;0.4444875;1
2018/09/12 01:50:46;25.8818495551735;-54.7735686604606;0.826666666666667;1;0.1529344;0.4412727;1
2018/09/12 01:50:55;26.3753723319046;-55.7791637848367;0.8325;1;0.2136978;0.4494975;1
2018/09/12 01:51:01;26.6623150559254;-56.3004308350181;0.840833333333333;1;0.1661072;0.4449139;1
2018/09/12 01:51:07;27.0633538365614;-57.0974889466357;0.845;1;0.1721559;0.4464808;1
2018/09/12 01:51:12;27.4184634332209;-57.791377064511;0.85;1;0.1942673;0.449824;1
2018/09/12 01:51:18;27.6763863631539;-58.2617142278093;0.8575;1;0.2066606;0.4519471;1
2018/09/12 01:51:23;27.8637761116501;-58.5722799077797;0.8525;1;0.1679159;0.4483914;1
2018/09/12 01:51:30;28.1567248437153;-59.1339671070079;0.86;1;0.2196521;0.4547138;1
2018/09/12 01:51:42;28.24376679023;-59.2204725358462;0.8625;1;0.162815;0.449276;1
2018/09/12 01:51:52;28.5109905091122;-59.7294202949783;0.8625;1;0.4511509;0.474054;1
2018/09/12 01:52:00;27.258758533275;-56.7914163078999;0.8665;1;0.6526784;0.4910882;0
2018/09/12 01:52:07;29.6055753529727;-62.0782686026839;0.86;1;0.1624672;0.4504892;1
2018/09/12 01:52:12;29.8916900210137;-62.6318798241321;0.865;1;0.4829754;0.4761723;1
2018/09/12 01:52:18;28.5823467017546;-59.5841973424654;0.871;1;0.7245884;0.4959316;1
2018/09/12 01:52:28;25.2180722069294;-52.0057626338799;0.876;1;0.1933124;0.4574386;1
2018/09/12 01:52:34;25.3908882950407;-52.3033480136199;0.875;1;0.5156422;0.486651;1
2018/09/12 01:52:46;24.0122259030986;-49.1378041212244;0.856333333333333;1;0.6807953;0.5040855;0
2018/09/12 01:52:54;25.6221788581917;-52.7210453419012;0.870333333333333;1;0.1764592;0.456775;1
2018/09/12 01:53:00;25.849120005463;-53.1443632941603;0.862666666666666;1;0.5228371;0.4881144;1
2018/09/12 01:53:12;24.6166854043392;-50.3194908159703;0.862;1;0.7091292;0.5069178;0
2018/09/12 01:53:18;25.9673234671108;-53.30991217716;0.851666666666667;1;0.2237593;0.463768;1
2018/09/12 01:53:27;26.1109289190477;-53.5408706816918;0.857666666666667;1;0.5009216;0.487751;1
2018/09/12 01:53:33;25.159147141376;-51.3480757565841;0.857;1;0.7107093;0.5074772;0
2018/09/12 01:53:45;26.3451454777103;-53.9654335044689;0.851333333333333;1;0.2323279;0.4660378;0
