Time;beta0;beta1;accuracy;used Model;target Diff;param Diff;win
2018/09/12 10:22:06;0;0;0;0;0;0;1
2018/09/12 10:22:13;0;0;0;0;0.5;0.07966653;1
2018/09/12 10:22:25;19.2028947644902;-2.1316282072803E-14;0;0;0.5;0.1756276;1
2018/09/12 10:22:33;20.2028947690641;3.5527136788005E-15;0;0;0.5;0.2675714;1
2018/09/12 10:22:42;20.2028947690641;3.33066907387547E-15;0;0;0.5;0.3332435;1
2018/09/12 10:22:50;20.2028947690641;4.44089209850063E-15;0;0;0.5;0.4270079;0
2018/09/12 10:22:55;161.076077940153;-424.361682501299;0;0;0.5;0.3398695;1
2018/09/12 10:23:05;174.022218096445;-454.478679662069;0;0;0.5;0.433742;1
2018/09/12 10:23:14;11.0500810924308;-25.2812307133882;0;0;0.5;0.4848936;1
2018/09/12 10:23:19;3.85963937925083;-5.97081680584588;0;0;0.5;0.5820867;0
2018/09/12 10:23:28;7.37059581453409;-15.0652850184844;0;0;0.5;0.5060497;0
2018/09/12 10:23:36;8.16798018415918;-17.6233696521475;0;0;0.5;0.4207533;1
2018/09/12 10:23:41;11.4648430789369;-24.2622630645124;0;0;0.5;0.5182672;0
2018/09/12 10:23:54;12.8195755528087;-27.619734499051;0.83;1;0.2277638;0.4199387;1
2018/09/12 10:24:03;14.0378155410053;-29.9197615214542;0.845;1;0.1628355;0.4144597;1
2018/09/12 10:24:10;15.0913722998692;-31.9732866518722;0.85;1;0.2112872;0.430803;1
2018/09/12 10:24:16;15.9944582573662;-33.6367264707051;0.83;1;0.2106917;0.4362403;1
2018/09/12 10:24:21;19.2477813854609;-40.3642416858874;0.885;1;0.1930607;0.4414189;1
2018/09/12 10:24:26;20.1236988152083;-41.9726199640435;0.885;1;0.1718308;0.4419784;1
2018/09/12 10:24:34;21.3835103147163;-44.4404859072482;0.885;1;0.1655693;0.444778;1
2018/09/12 10:24:40;22.1699548737233;-45.8990017682465;0.885;1;0.230573;0.4567611;1
2018/09/12 10:24:46;22.7000158463091;-46.7186797187762;0.893333333333334;1;0.1717786;0.4522161;1
2018/09/12 10:24:52;23.3717422377645;-47.9302215839624;0.911666666666667;1;0.177612;0.4556443;1
2018/09/12 10:25:03;23.9705413888731;-48.9817506353409;0.915;1;0.1727744;0.457404;0
2018/09/12 10:25:14;21.9660197409448;-45.5748908707008;0.881666666666667;1;0.1999185;0.4515472;1
2018/09/12 10:25:19;22.9323022251783;-47.483901126265;0.88;1;0.1806506;0.4511078;1
2018/09/12 10:25:26;23.4294371717725;-48.3916437676928;0.885;1;0.2083121;0.4565728;1
2018/09/12 10:25:32;23.7461270799859;-48.8846673880691;0.878333333333334;1;0.2122872;0.458936;1
2018/09/12 10:25:40;23.9864623753451;-49.2125662349473;0.895;1;0.185466;0.4573368;1
2018/09/12 10:25:53;24.3133095649285;-49.7546345182867;0.903333333333334;1;0.1727922;0.4571905;1
2018/09/12 10:25:59;24.6524484164818;-50.336437899426;0.89;1;0.2214137;0.4647727;1
2018/09/12 10:26:03;24.6782028424609;-50.2041246554327;0.901666666666667;1;0.1855583;0.4620949;1
2018/09/12 10:26:12;24.8774716584845;-50.4787767563804;0.915833333333333;1;0.2260229;0.4684457;1
2018/09/12 10:26:19;24.783927494327;-50.0953785455275;0.914166666666667;1;0.1999239;0.4670522;1
2018/09/12 10:26:27;24.8276816393403;-50.0313409031399;0.8975;1;0.2337444;0.4725117;1
2018/09/12 10:26:33;24.5994348664806;-49.3641145969191;0.915833333333334;1;0.248199;0.4758759;1
2018/09/12 10:26:42;24.225968095709;-48.3833295757604;0.914166666666667;1;0.1578977;0.4661112;0
2018/09/12 10:26:49;23.554745398865;-47.5141622164623;0.8975;1;0.2290424;0.4701971;1
